ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22000) [CP932]
CPU: 11th Gen Intel Core i7-11700K @ 3.60GHz [TB: 4.92GHz] (8C/16T)
RAM: Used 3369 MB, Total 16181 MB

11th Gen Intel Core i7-11700K @ 3.60GHz [TB: 4.92GHz] (8C/16T)
CPU cores
  core  0   : **--------------
  core  1   : --**------------
  core  2   : ----**----------
  core  3   : ------**--------
  core  4   : --------**------
  core  5   : ----------**----
  core  6   : ------------**--
  core  7   : --------------**
CPU caches
  cache L1D : **-------------- : 12way     48KB
  cache L1I : **-------------- :  8way     32KB
  cache L1D : --**------------ : 12way     48KB
  cache L1I : --**------------ :  8way     32KB
  cache L1D : ----**---------- : 12way     48KB
  cache L1I : ----**---------- :  8way     32KB
  cache L1D : ------**-------- : 12way     48KB
  cache L1I : ------**-------- :  8way     32KB
  cache L1D : --------**------ : 12way     48KB
  cache L1I : --------**------ :  8way     32KB
  cache L1D : ----------**---- : 12way     48KB
  cache L1I : ----------**---- :  8way     32KB
  cache L1D : ------------**-- : 12way     48KB
  cache L1I : ------------**-- :  8way     32KB
  cache L1D : --------------** : 12way     48KB
  cache L1I : --------------** :  8way     32KB
  cache L2  : **-------------- :  8way    512KB
  cache L2  : --**------------ :  8way    512KB
  cache L2  : ----**---------- :  8way    512KB
  cache L2  : ------**-------- :  8way    512KB
  cache L2  : --------**------ :  8way    512KB
  cache L2  : ----------**---- :  8way    512KB
  cache L2  : ------------**-- :  8way    512KB
  cache L2  : --------------** :  8way    512KB
  cache L3  : **************** : 16way  16384KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  ,     4  ,     5  ,     6  ,     7  
   0  ,    5.26,   23.95,   23.90,   23.72,   23.99,   24.88,   26.84,   26.27
   1  ,   23.90,    4.93,   27.47,   27.87,   28.56,   29.33,   28.90,   29.42
   2  ,   23.82,   27.90,    5.09,   28.22,   29.14,   28.90,   29.47,   30.85
   3  ,   24.24,   27.87,   28.19,    4.93,   28.89,   30.65,   29.98,   30.40
   4  ,   24.50,   28.60,   29.61,   29.47,    4.84,   29.91,   30.02,   30.66
   5  ,   26.07,   28.59,   29.56,   29.37,   30.14,    4.89,   30.57,   31.06
   6  ,   25.66,   28.93,   30.30,   30.01,   30.02,   30.73,    4.93,   31.11
   7  ,   26.24,   29.43,   30.34,   30.41,   30.65,   31.04,   31.11,    4.93

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.03, 1.05, 1.03
      4, 1.03, 1.03, 1.03
      5, 1.03, 1.05, 1.03
      5, 1.03, 1.02, 1.02
      6, 1.02, 1.02, 1.02
      6, 1.02, 1.02, 1.02
      7, 1.02, 1.02, 1.04
      7, 1.02, 1.02, 1.02
      8, 1.02, 1.04, 1.02
      9, 1.02, 1.02, 1.02
     10, 1.04, 1.11, 1.02
     10, 1.02, 1.02, 1.02
     11, 1.04, 1.02, 1.02
     12, 1.02, 1.02, 1.02
     13, 1.04, 1.02, 1.02
     15, 1.02, 1.02, 1.02
     16, 1.07, 1.02, 1.02
     17, 1.02, 1.02, 1.02
     19, 1.05, 1.02, 1.02
     21, 1.02, 1.02, 1.02
     23, 1.05, 1.02, 1.02
     25, 1.02, 1.02, 1.04
     27, 1.02, 1.02, 1.02
     29, 1.02, 1.02, 1.04
     32, 1.02, 1.02, 1.02
     35, 1.02, 1.02, 1.07
     38, 1.02, 1.02, 1.02
     41, 1.02, 1.02, 1.06
     45, 1.02, 1.02, 1.02
     49, 1.03, 1.62, 1.07
     54, 1.02, 2.45, 1.25
     59, 1.02, 2.70, 1.36
     64, 1.07, 2.70, 1.65
     70, 1.02, 2.79, 1.57
     76, 1.03, 2.56, 1.74
     83, 1.02, 2.54, 1.75
     91, 1.02, 2.49, 1.84
     99, 1.02, 2.49, 1.90
    108, 1.02, 2.49, 1.97
    117, 1.02, 2.49, 2.02
    128, 1.02, 2.49, 2.08
    140, 1.02, 2.49, 2.12
    152, 1.02, 2.49, 2.16
    166, 1.02, 2.49, 2.24
    181, 1.02, 2.49, 2.25
    197, 1.02, 2.49, 2.28
    215, 1.02, 2.49, 2.31
    235, 1.02, 2.49, 2.34
    256, 1.03, 2.49, 2.38
    279, 1.02, 2.50, 2.51
    304, 1.02, 2.51, 2.65
    332, 1.02, 2.52, 2.77
    362, 1.02, 2.50, 2.87
    395, 1.02, 2.85, 3.22
    431, 1.02, 3.14, 3.55
    470, 1.02, 2.50, 3.15
    512, 1.02, 3.09, 3.30
    558, 1.02, 3.52, 4.03
    609, 1.02, 3.88, 4.86
    664, 1.22, 4.17, 5.44
    724, 1.02, 4.36, 6.01
    790, 1.02, 4.33, 6.51
    861, 1.02, 4.34, 6.97
    939, 1.02, 4.41, 7.47
   1024, 1.02, 4.44, 7.87
   1117, 1.05, 4.44, 8.19
   1218, 1.02, 4.45, 8.53
   1328, 1.02, 4.45, 8.86
   1448, 1.02, 4.45, 9.28
