ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22621) [CP932]
CPU: AMD Ryzen 3 3200G with Radeon Vega Graphics [3.20GHz] (4C/4T)
RAM: Used 3883 MB, Total 7857 MB

AMD Ryzen 3 3200G with Radeon Vega Graphics [3.20GHz] (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  8way     32KB
  cache L1I : *--- :  4way     64KB
  cache L1D : -*-- :  8way     32KB
  cache L1I : -*-- :  4way     64KB
  cache L1D : --*- :  8way     32KB
  cache L1I : --*- :  4way     64KB
  cache L1D : ---* :  8way     32KB
  cache L1I : ---* :  4way     64KB
  cache L2  : *--- :  8way    512KB
  cache L2  : -*-- :  8way    512KB
  cache L2  : --*- :  8way    512KB
  cache L2  : ---* :  8way    512KB
  cache L3  : **** : 16way   4096KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
   0  ,,        ,   33.21,   29.98,   33.60
   1  ,   35.48,        ,   29.75,   38.75
   2  ,   31.38,   30.13,        ,   50.57
   3  ,   52.76,   44.92,   29.48,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.35, 1.39, 1.31
      4, 1.30, 1.30, 1.32
      5, 1.30, 1.42, 1.34
      5, 1.30, 1.31, 1.31
      6, 1.43, 1.30, 1.31
      6, 1.31, 1.30, 1.31
      7, 1.30, 1.32, 1.30
      7, 1.31, 1.31, 1.36
      8, 1.37, 1.31, 1.30
      9, 1.32, 1.31, 1.31
     10, 1.30, 1.30, 1.57
     10, 1.32, 1.30, 1.31
     11, 1.41, 1.32, 1.30
     12, 1.31, 1.32, 1.32
     13, 1.31, 1.32, 1.32
     15, 1.33, 1.31, 1.32
     16, 1.31, 1.32, 1.31
     17, 1.32, 1.31, 1.32
     19, 1.32, 1.31, 1.31
     21, 1.31, 1.32, 1.32
     23, 1.32, 1.31, 1.36
     25, 1.31, 1.31, 1.31
     27, 1.33, 1.30, 1.31
     29, 1.31, 1.31, 1.32
     32, 1.32, 1.31, 1.31
     35, 1.32, 2.13, 1.52
     38, 1.31, 2.42, 1.69
     41, 1.31, 2.32, 1.81
     45, 1.31, 2.28, 1.96
     49, 1.31, 2.36, 2.11
     54, 1.31, 2.28, 2.21
     59, 1.31, 2.44, 2.32
     64, 1.31, 2.57, 2.40
     70, 1.31, 2.47, 2.49
     76, 1.31, 2.28, 2.57
     83, 1.45, 2.27, 2.73
     91, 1.32, 2.27, 2.81
     99, 1.31, 2.27, 2.87
    108, 1.31, 2.36, 2.82
    117, 1.31, 2.33, 2.92
    128, 1.31, 2.35, 2.90
    140, 1.36, 2.26, 2.95
    152, 1.31, 2.26, 3.23
    166, 1.31, 2.26, 3.03
    181, 1.31, 2.45, 3.06
    197, 1.36, 2.27, 3.19
    215, 1.31, 2.27, 3.11
    235, 1.31, 2.26, 3.14
    256, 1.37, 2.28, 3.43
    279, 1.31, 2.35, 3.41
    304, 1.39, 2.27, 3.74
    332, 1.31, 2.28, 3.78
    362, 1.31, 2.27, 3.98
    395, 1.31, 2.44, 4.08
    431, 1.32, 2.28, 4.18
    470, 1.42, 2.27, 4.72
    512, 1.31, 2.57, 4.71
    558, 1.57, 2.77, 5.05
    609, 1.31, 3.15, 5.87
    664, 1.31, 3.62, 6.12
    724, 1.31, 3.45, 6.57
    790, 1.31, 3.42, 7.27
    861, 1.31, 3.52, 7.64
    939, 1.31, 3.47, 7.87
   1024, 1.31, 3.63, 6.74
   1117, 1.30, 3.52, 6.87
   1218, 1.31, 3.50, 7.21
   1328, 1.48, 3.50, 8.38
   1448, 1.31, 3.87, 7.56
   1579, 1.31, 3.55, 8.54
   1722, 1.31, 3.60, 8.24
   1878, 1.31, 3.55, 8.69
   2048, 1.32, 3.50, 8.89
   2233, 1.31, 3.50, 9.47
   2435, 1.31, 3.72, 9.61
   2656, 1.31, 4.35, 10.36
   2896, 1.31, 3.50, 13.56
   3158, 1.31, 3.54, 15.17
   3444, 1.31, 3.52, 12.67
   3756, 1.37, 4.32, 13.84
   4096, 1.31, 5.09, 13.36
   4467, 1.31, 11.02, 17.76
   4871, 1.31, 14.58, 23.59
   5312, 1.32, 18.12, 27.28
   5793, 1.31, 18.59, 31.19
   6317, 1.32, 18.59, 35.88
   6889, 1.31, 18.60, 39.83
   7512, 1.31, 18.61, 42.69
   8192, 1.30, 18.63, 47.06
   8933, 1.31, 18.67, 49.86
   9742, 1.31, 18.62, 51.74
  10624, 1.31, 18.70, 54.95
  11585, 1.31, 18.60, 57.31
  12634, 1.31, 18.58, 59.22
  13777, 1.32, 18.60, 91.62
  15024, 1.49, 27.77, 94.34
  16384, 1.39, 19.24, 74.60
  17867, 1.36, 18.96, 75.04
  19484, 1.33, 18.99, 75.61
  21247, 1.35, 18.96, 77.63
  23170, 1.36, 19.04, 77.94
  25268, 1.37, 18.95, 78.63
  27554, 1.33, 18.60, 72.81
  30048, 1.32, 18.64, 73.97
  32768, 1.33, 18.94, 74.91
  35734, 1.34, 18.61, 76.64
  38968, 1.33, 18.68, 78.42
  42495, 1.33, 18.68, 80.34
  46341, 1.33, 18.67, 81.69
  50535, 1.34, 18.70, 83.00
  55109, 1.32, 18.71, 84.19
  60097, 1.33, 18.68, 85.41
  65536, 1.32, 18.70, 86.44
  71468, 1.33, 18.69, 87.53
  77936, 1.33, 18.71, 88.42
  84990, 1.31, 18.68, 89.26
  92682, 1.32, 18.68, 90.14
 101070, 1.32, 18.69, 90.93
 110218, 1.32, 18.70, 91.74
 120194, 1.32, 18.68, 92.41
 131072, 1.32, 18.68, 96.99
 142935, 1.35, 20.34, 99.12
 155872, 1.33, 19.40, 103.08
 169979, 1.33, 20.75, 101.75
 185364, 1.32, 19.92, 109.23
 202141, 1.48, 22.10, 108.27
 220436, 1.35, 19.73, 96.32
 240387, 1.31, 18.51, 96.58
 262144, 1.31, 18.52, 96.97
 285870, 1.36, 18.52, 97.36
 311744, 1.31, 18.51, 97.67
 339959, 1.31, 18.52, 98.09
 370728, 1.31, 18.51, 98.51
 404281, 1.31, 18.51, 99.20
 440872, 1.31, 18.51, 99.58
 480774, 1.31, 18.52, 100.21
 524288, 1.31, 18.51, 100.91

read bandwidth (GB/s)
      4, 114.1, 190.3, 320.0, 427.1,
      4, 114.0, 226.4, 317.3, 417.5,
      5, 114.0, 227.3, 339.7, 453.0,
      5, 114.0, 226.4, 339.7, 415.9,
      6, 114.0, 226.4, 320.6, 415.9,
      6, 114.0, 226.4, 317.8, 415.1,
      7, 107.7, 204.1, 303.6, 395.7,
      7, 108.5, 226.4, 317.3, 392.8,
      8, 108.5, 226.4, 317.3, 430.5,
      9, 109.2, 226.4, 319.5, 414.5,
     10, 109.2, 227.2, 339.7, 418.3,
     10, 110.0, 227.2, 339.7, 430.5,
     11, 110.0, 228.0, 317.3, 415.1,
     12, 110.0, 227.2, 317.3, 447.4,
     13, 110.8, 221.8, 318.0, 430.5,
     15, 110.8, 217.0, 327.8, 415.2,
     16, 110.8, 217.0, 318.0, 415.2,
     17, 111.6, 222.4, 339.6, 432.9,
     19, 111.6, 218.5, 318.0, 415.1,
     21, 111.6, 218.5, 322.5, 417.1,
     23, 111.6, 220.0, 303.3, 415.8,
     25, 111.5, 218.4, 334.9, 442.0,
     27, 112.3, 220.0, 305.7, 404.1,
     29, 112.3, 220.0, 326.2, 401.3,
     32, 111.6, 221.6, 305.7, 398.2,
     35, 106.3, 223.2, 307.7, 408.3,
     38, 104.7, 223.1, 310.3, 415.4,
     41, 105.4, 223.2, 310.3, 403.0,
     45, 106.3, 223.1, 310.4, 402.9,
     49, 106.0, 223.0, 331.3, 403.6,
     54, 104.7, 224.5, 311.9, 420.5,
     59, 105.3, 224.7, 312.4, 405.9,
     64, 106.3, 223.2, 311.5, 406.5,
     70, 106.3, 211.1, 312.9, 408.8,
     76, 105.5, 208.2, 312.5, 409.4,
     83, 105.4, 210.7, 314.3, 409.1,
     91, 107.0, 209.7, 314.2, 409.4,
     99, 106.7, 210.5, 309.3, 410.4,
    108, 106.5, 211.6, 292.5, 418.5,
    117, 106.7, 210.9, 297.8, 411.6,
