ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 11 x64 (22000) [CP932]
CPU: AMD Ryzen 7 3700X 8-Core Processor [4.40GHz] (8C/16T)
RAM: Used 2458 MB, Total 8117 MB

AMD Ryzen 7 3700X 8-Core Processor [4.40GHz] (8C/16T)
CPU cores
  core  0   : **--------------
  core  1   : --**------------
  core  2   : ----**----------
  core  3   : ------**--------
  core  4   : --------**------
  core  5   : ----------**----
  core  6   : ------------**--
  core  7   : --------------**
CPU caches
  cache L1D : **-------------- :  8way     32KB
  cache L1I : **-------------- :  8way     32KB
  cache L1D : --**------------ :  8way     32KB
  cache L1I : --**------------ :  8way     32KB
  cache L1D : ----**---------- :  8way     32KB
  cache L1I : ----**---------- :  8way     32KB
  cache L1D : ------**-------- :  8way     32KB
  cache L1I : ------**-------- :  8way     32KB
  cache L1D : --------**------ :  8way     32KB
  cache L1I : --------**------ :  8way     32KB
  cache L1D : ----------**---- :  8way     32KB
  cache L1I : ----------**---- :  8way     32KB
  cache L1D : ------------**-- :  8way     32KB
  cache L1I : ------------**-- :  8way     32KB
  cache L1D : --------------** :  8way     32KB
  cache L1I : --------------** :  8way     32KB
  cache L2  : **-------------- :  8way    512KB
  cache L2  : --**------------ :  8way    512KB
  cache L2  : ----**---------- :  8way    512KB
  cache L2  : ------**-------- :  8way    512KB
  cache L2  : --------**------ :  8way    512KB
  cache L2  : ----------**---- :  8way    512KB
  cache L2  : ------------**-- :  8way    512KB
  cache L2  : --------------** :  8way    512KB
  cache L3  : ********-------- : 16way  16384KB
  cache L3  : --------******** : 16way  16384KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  ,     4  ,     5  ,     6  ,     7  
   0  ,    8.60,   34.83,   38.51,   37.78,   80.01,   82.25,   80.00,   81.45
   1  ,   35.68,    8.60,   38.10,   37.82,   80.60,   81.60,   81.18,   81.41
   2  ,   39.62,   38.32,    8.62,   37.49,   83.20,   81.51,   81.76,   82.02
   3  ,   40.34,   37.79,   37.48,    8.60,   81.40,   82.17,   82.29,   82.18
   4  ,   81.13,   80.29,   82.79,   81.46,    8.63,   34.86,   38.55,   38.14
   5  ,   81.67,   81.62,   81.45,   82.02,   35.61,    8.65,   38.34,   37.78
   6  ,   81.46,   80.99,   81.63,   81.47,   38.65,   38.13,    8.62,   36.00
   7  ,   83.39,   80.94,   83.21,   82.01,   38.34,   38.02,   38.17,    8.66

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.33, 1.16, 1.15
      4, 1.16, 1.15, 1.16
      5, 1.16, 1.16, 1.16
      5, 1.16, 1.16, 1.16
      6, 1.16, 1.16, 1.16
      6, 1.16, 1.15, 1.15
      7, 1.16, 1.15, 1.15
      7, 1.15, 1.17, 1.16
      8, 1.16, 1.15, 1.15
      9, 1.15, 1.15, 1.15
     10, 1.15, 1.15, 1.16
     10, 1.16, 1.15, 1.15
     11, 1.17, 1.15, 1.15
     12, 1.16, 1.15, 1.16
     13, 1.17, 1.15, 1.15
     15, 1.16, 1.15, 1.15
     16, 1.17, 1.15, 1.19
     17, 1.16, 1.15, 1.15
     19, 1.15, 1.16, 1.16
     21, 1.15, 1.15, 1.15
     23, 1.16, 1.15, 1.15
     25, 1.16, 1.15, 1.15
     27, 1.16, 1.15, 1.15
     29, 1.15, 1.15, 1.15
     32, 1.16, 1.19, 1.15
     35, 1.16, 1.97, 1.33
     38, 1.16, 2.11, 1.49
     41, 1.15, 2.10, 1.61
     45, 1.15, 2.12, 1.74
     49, 1.15, 2.10, 1.87
     54, 1.16, 2.12, 1.99
     59, 1.15, 2.12, 2.08
     64, 1.15, 2.12, 2.18
     70, 1.15, 2.15, 2.29
     76, 1.15, 2.12, 2.36
     83, 1.16, 2.11, 2.41
     91, 1.15, 2.12, 2.46
     99, 1.15, 2.18, 2.65
    108, 1.20, 2.21, 2.70
    117, 1.20, 2.17, 2.64
    128, 1.16, 2.10, 2.71
    140, 1.16, 2.10, 2.73
    152, 1.16, 2.11, 2.76
    166, 1.16, 2.13, 2.78
    181, 1.15, 2.08, 2.81
    197, 1.15, 2.09, 2.86
    215, 1.15, 2.08, 2.86
    235, 1.15, 2.10, 2.89
    256, 1.15, 2.13, 2.93
    279, 1.16, 2.13, 3.08
    304, 1.15, 2.12, 3.19
    332, 1.15, 2.13, 3.32
    362, 1.15, 2.12, 3.41
    395, 1.16, 2.12, 3.50
    431, 1.15, 2.11, 3.60
    470, 1.16, 2.12, 3.69
    512, 1.16, 2.29, 4.09
    558, 1.16, 2.69, 4.35
    609, 1.15, 3.08, 4.96
    664, 1.15, 3.36, 5.40
    724, 1.15, 3.48, 5.90
    790, 1.15, 3.54, 6.32
    861, 1.16, 3.59, 6.69
    939, 1.15, 3.64, 7.04
   1024, 1.15, 3.69, 6.64
   1117, 1.15, 3.66, 6.80
   1218, 1.15, 3.64, 7.06
   1328, 1.15, 3.75, 7.27
   1448, 1.15, 3.66, 7.66
   1579, 1.15, 3.67, 8.11
   1722, 1.16, 3.67, 8.11
   1878, 1.15, 3.84, 8.38
   2048, 1.15, 3.68, 8.47
   2233, 1.15, 3.68, 8.71
   2435, 1.15, 3.75, 8.81
   2656, 1.15, 3.69, 9.04
   2896, 1.15, 3.80, 9.18
   3158, 1.15, 3.69, 9.27
   3444, 1.15, 3.66, 9.47
   3756, 1.14, 3.65, 9.43
   4096, 1.15, 3.65, 9.55
   4467, 1.14, 3.71, 9.63
   4871, 1.15, 3.65, 9.76
   5312, 1.15, 3.64, 9.81
   5793, 1.14, 3.69, 9.91
   6317, 1.14, 3.68, 9.93
   6889, 1.14, 3.64, 10.03
   7512, 1.14, 3.64, 10.04
   8192, 1.17, 3.66, 10.10
   8933, 1.14, 3.65, 10.16
   9742, 1.16, 3.79, 10.21
  10624, 1.17, 3.65, 10.24
