ram_speed 0.01 (gcc 9.2.1/Linux/asm:on)

Environment Info
OS : Ubuntu 19.10 x64
CPU: AMD Ryzen 7 3700X 8-Core Processor 
RAM: Used 7960 MB, Total 15938 MB

inter core latency
   24.39,   81.95,   76.31,   73.76,  180.64,  179.91,  181.68,  180.44
   74.70,   12.40,   73.93,   73.48,  182.02,  179.69,  177.19,  179.15
   92.76,   72.29,   12.33,   74.26,  178.91,  179.42,  179.20,  183.28
   90.35,   73.82,   70.26,   12.29,  180.20,  181.42,  181.25,  181.01
  188.24,  181.53,  180.84,  180.72,   12.28,   66.55,   75.39,   73.89
  186.31,  181.01,  178.22,  181.89,   76.00,   12.37,   77.24,   74.19
  186.07,  178.50,  181.22,  180.77,   76.32,   73.97,   12.36,   66.51
  180.81,  181.63,  180.54,  180.60,   74.15,   70.43,   76.59,   12.24

ram latency
, sequantial, cacheline forward2, full random
     4, 1.79, 1.15, 1.15
     4, 1.15, 1.15, 1.15
     5, 1.15, 1.15, 1.14
     5, 1.14, 1.14, 1.14
     6, 1.14, 1.14, 1.14
     6, 1.14, 1.14, 1.14
     7, 1.14, 1.14, 1.14
     7, 1.14, 1.14, 1.14
     8, 1.14, 1.14, 1.14
     9, 1.14, 1.14, 1.14
    10, 1.14, 1.14, 1.14
    10, 1.14, 1.14, 1.14
    11, 1.14, 1.14, 1.14
    12, 1.14, 1.14, 1.14
    13, 1.14, 1.14, 1.14
    15, 1.14, 1.14, 1.14
    16, 1.14, 1.14, 1.14
    17, 1.14, 1.14, 1.14
    19, 1.14, 1.14, 1.14
    21, 1.14, 1.14, 1.14
    23, 1.14, 1.14, 1.14
    25, 1.14, 1.14, 1.14
    27, 1.14, 1.14, 1.14
    29, 1.14, 1.14, 1.14
    32, 1.14, 1.14, 1.14
    35, 1.14, 1.92, 1.31
    38, 1.14, 2.09, 1.47
    41, 1.14, 2.09, 1.58
    45, 1.14, 2.10, 1.73
    49, 1.14, 2.07, 1.83
    54, 1.14, 2.08, 1.95
    59, 1.14, 2.08, 2.06
    64, 1.14, 2.09, 2.14
    70, 1.14, 2.08, 2.24
    76, 1.14, 2.08, 2.31
    83, 1.14, 2.08, 2.38
    91, 1.14, 2.07, 2.45
    99, 1.14, 2.09, 2.50
   108, 1.14, 2.08, 2.57
   117, 1.14, 2.08, 2.61
   128, 1.14, 2.07, 2.65
   140, 1.14, 2.08, 2.68
   152, 1.14, 2.08, 2.72
   166, 1.14, 2.07, 2.76
   181, 1.14, 2.08, 2.79
   197, 1.14, 2.08, 2.80
   215, 1.14, 2.07, 2.84
   235, 1.14, 2.08, 2.85
   256, 1.14, 2.09, 2.90
   279, 1.14, 2.09, 3.04
   304, 1.14, 2.10, 3.16
   332, 1.14, 2.10, 3.27
   362, 1.14, 2.28, 3.54
   395, 1.14, 2.38, 3.82
   431, 1.14, 2.44, 3.97
   470, 1.14, 2.51, 4.16
   512, 1.14, 2.55, 4.29
   558, 1.14, 2.71, 4.58
   609, 1.14, 2.85, 5.00
   664, 1.14, 3.06, 5.38
   724, 1.14, 3.27, 5.81
   790, 1.14, 3.38, 6.19
   861, 1.14, 3.45, 6.56
   939, 1.14, 3.53, 6.89
  1024, 1.14, 3.58, 7.22
  1117, 1.14, 3.58, 7.50
  1218, 1.14, 3.57, 7.75
  1328, 1.14, 3.58, 8.00
  1448, 1.14, 3.56, 8.22
  1579, 1.14, 3.57, 8.40
  1722, 1.14, 3.57, 8.59
  1878, 1.14, 3.57, 8.76
  2048, 1.14, 3.58, 8.92
  2233, 1.14, 3.57, 9.07
  2435, 1.14, 3.57, 9.20
  2656, 1.14, 3.57, 9.31
  2896, 1.14, 3.58, 9.41
  3158, 1.14, 3.57, 9.51
  3444, 1.14, 3.57, 9.59
  3756, 1.14, 3.57, 9.68
  4096, 1.14, 3.57, 9.76
  4467, 1.14, 3.58, 9.84
  4871, 1.14, 3.57, 9.89
  5312, 1.14, 3.57, 9.95
  5793, 1.14, 3.57, 10.01
  6317, 1.14, 3.57, 10.06
  6889, 1.14, 3.58, 10.12
  7512, 1.14, 3.59, 10.16
  8192, 1.14, 3.64, 10.30
  8933, 1.14, 3.98, 11.33
  9742, 1.14, 4.04, 11.88
 10624, 1.14, 4.26, 12.58
 11585, 1.14, 4.49, 13.35
 12634, 1.14, 5.17, 14.50
 13777, 1.14, 6.39, 16.18
 15024, 1.14, 7.89, 18.48
 16384, 1.14, 9.37, 20.91
 17867, 1.14, 11.69, 24.27
 19484, 1.15, 14.68, 29.27
 21247, 1.15, 16.35, 32.78
 23170, 1.16, 18.19, 37.39
 25268, 1.16, 19.66, 41.39
 27554, 1.16, 20.29, 45.38
 30048, 1.16, 20.79, 49.09
 32768, 1.15, 22.44, 52.66
 35734, 1.16, 22.56, 55.73
 38968, 1.15, 22.58, 58.49
 42495, 1.16, 22.59, 61.39
 46341, 1.16, 22.61, 62.11
 50535, 1.17, 22.61, 65.81
 55109, 1.16, 22.61, 67.77
 60097, 1.15, 22.61, 68.26
 65536, 1.17, 22.60, 71.21
 71468, 1.16, 22.61, 72.82
 77936, 1.16, 22.60, 74.41
 84990, 1.16, 22.51, 75.78
 92682, 1.15, 22.66, 75.84
101070, 1.16, 22.66, 78.28
110218, 1.15, 22.64, 78.36
120194, 1.16, 22.67, 80.66
131072, 1.16, 22.67, 81.64
142935, 1.17, 22.66, 82.58
155872, 1.17, 22.66, 83.47
169979, 1.17, 22.67, 84.37
185364, 1.17, 22.67, 85.23
202141, 1.17, 22.67, 85.97
220436, 1.17, 22.67, 86.66
240387, 1.17, 22.67, 87.32
262144, 1.17, 22.67, 87.94

read
     4, 123.0, 393.9, 656.0, 799.3,1164.4,1311.8,1554.3,1798.9,
     4, 258.2, 506.3, 533.6, 773.7,1052.8,1408.3,1553.6,1796.8,
     5, 256.1, 510.2, 533.6, 902.3,1147.6,1397.4,1524.4,1905.5,
     5, 256.1, 516.5, 551.7, 680.3,1045.8,1397.4,1532.5,1796.8,
     6, 252.0, 460.4, 529.7, 896.0,1147.6,1295.0,1530.1,1788.6,
     6, 256.1, 512.3, 548.2, 785.9,1045.1,1295.0,1649.4,1782.1,
     7, 256.1, 512.3, 529.7, 895.5,1147.5,1386.1,1638.1,1787.2,
     7, 254.1, 400.1, 639.8, 785.9,1043.7,1295.0,1530.1,1782.1,
     8, 256.1, 508.1, 639.8, 657.3,1038.8,1295.0,1530.1,1890.1,
     9, 256.1, 398.0, 639.8, 896.0,1139.4,1386.1,1512.1,1782.1,
    10, 256.1, 510.2, 529.7, 896.0,1147.6,1396.3,1530.1,1782.1,
    10, 256.1, 508.1, 529.7, 896.0,1139.4,1386.1,1638.1,1782.1,
    11, 256.1, 508.1, 529.7, 895.9,1139.4,1286.8,1638.1,1782.1,
    12, 256.1, 508.1, 529.7, 895.9,1037.5,1276.8,1512.1,1782.1,
    13, 256.1, 512.3, 529.7, 767.4,1045.1,1295.0,1650.4,1782.1,
    15, 256.1, 504.0, 529.7, 785.9,1045.0,1397.3,1638.1,1880.3,
    16, 256.1, 508.1, 529.7, 891.8,1038.8,1286.7,1530.1,1890.1,
    17, 240.3, 399.3, 658.3, 785.8,1045.1,1387.0,1530.1,1782.1,
    19, 256.1, 508.0, 529.7, 895.4,1139.4,1386.0,1638.0,1890.1,
    21, 256.1, 508.0, 529.7, 889.1,1139.3,1386.0,1621.0,1782.1,
    23, 245.9, 508.1, 529.7, 895.4,1139.2,1286.8,1638.0,1782.0,
    25, 245.9, 512.2, 529.7, 895.4,1145.4,1386.0,1638.1,1782.0,
    27, 245.9, 512.2, 529.6, 895.4,1145.4,1385.9,1641.2,1782.0,
    29, 245.9, 496.4, 529.6, 895.5,1139.3,1286.7,1638.0,1782.1,
    32, 236.7, 402.2, 648.1, 785.9,1153.8,1385.9,1637.9,1782.1,
    35, 142.0, 449.6, 658.2, 785.8,1038.8,1393.1,1530.0,1890.0,
    38, 126.5, 402.1, 529.6, 895.9,1038.8,1394.2,1637.9,1889.9,
    41, 126.9, 451.3, 658.2, 785.7,1045.1,1294.9,1530.0,1796.6,
    45, 127.0, 373.5, 639.7, 895.3,1147.3,1389.1,1530.0,1781.9,
    49, 126.3, 366.7, 639.5, 903.2,1155.6,1286.8,1530.1,1784.4,
    54, 126.9, 389.2, 529.6, 785.8,1045.5,1294.7,1640.7,1810.7,
    59, 126.9, 391.8, 627.7, 889.5,1147.3,1385.8,1530.1,1890.1,
    64, 127.0, 355.1, 639.8, 905.0,1045.5,1286.4,1637.8,1782.1,
    70, 126.0, 213.3, 605.2, 853.3,1155.6,1286.6,1655.0,1842.1,
    76, 126.9, 199.5, 620.0, 899.9,1155.8,1294.7,1530.7,1781.9,
    83, 126.3, 248.4, 624.3, 885.4,1038.4,1350.2,1529.8,1781.7,
    91, 127.0, 190.5, 628.8, 765.9,1045.6,1391.5,1541.3,1905.2,
    99, 127.2, 191.3, 520.0, 754.1,1015.6,1397.3,1512.5,1781.8,
   108, 126.3, 191.3, 317.5, 867.6,1038.7,1397.0,1542.6,1796.6,
   117, 127.2, 191.6, 326.1, 874.4, 974.9,1282.8,1542.2,1727.3,
   128, 126.5, 200.6, 326.4, 834.0,1119.0,1294.8,1542.4,1796.8,
   140, 127.0, 191.5, 319.8, 499.3,1109.6,1334.9,1597.7,1812.3,
   152, 127.0, 202.0, 318.9, 453.0,1119.2,1253.9,1542.4,1783.9,
   166, 127.3, 201.2, 318.5, 452.9, 915.2,1368.6,1576.6,1748.9,
   181, 127.7, 192.2, 318.9, 444.4, 569.1,1377.9,1593.8,1724.9,
   197, 127.4, 197.9, 321.1, 454.2, 588.3,1146.1,1598.7,1724.8,
