ram_speed 0.01

Environment Info
OS : Ubuntu 19.10 x64
CPU: AMD Ryzen 7 3700X 8-Core Processor 
RAM: Used 7848 MB, Total 15938 MB

inter core latency
   24.80,   75.15,   74.58,   72.09,  177.09,  174.54,  178.00,  179.25
   74.28,   12.51,   67.90,   73.53,  176.94,  177.12,  178.08,  178.26
   89.45,   72.44,   12.45,   72.24,  177.13,  178.87,  180.94,  179.91
   86.12,   71.17,   74.70,   12.57,  178.11,  177.68,  176.64,  180.20
  185.79,  179.22,  180.39,  178.03,   12.21,   72.93,   70.19,   69.43
  183.69,  173.95,  180.33,  179.10,   75.42,   12.26,   74.19,   75.58
  182.51,  176.75,  180.60,  182.80,   74.94,   70.99,   12.32,   76.35
  177.84,  176.38,  182.27,  181.63,   76.25,   76.37,   73.78,   12.33

ram latency
, sequantial, cacheline forward2, full random
     4, 1.14, 1.14, 1.14
     4, 1.14, 1.14, 1.14
     5, 1.14, 1.14, 1.14
     5, 1.14, 1.14, 1.14
     6, 1.14, 1.14, 1.14
     6, 1.14, 1.14, 1.14
     7, 1.14, 1.14, 1.14
     7, 1.14, 1.14, 1.14
     8, 1.14, 1.14, 1.14
     9, 1.14, 1.14, 1.14
    10, 1.14, 1.14, 1.14
    10, 1.14, 1.14, 1.14
    11, 1.14, 1.14, 1.14
    12, 1.14, 1.14, 1.14
    13, 1.14, 1.14, 1.14
    15, 1.14, 1.14, 1.14
    16, 1.14, 1.14, 1.14
    17, 1.14, 1.14, 1.14
    19, 1.14, 1.14, 1.14
    21, 1.14, 1.14, 1.14
    23, 1.14, 1.14, 1.14
    25, 1.14, 1.14, 1.14
    27, 1.14, 1.14, 1.14
    29, 1.14, 1.14, 1.14
    32, 1.14, 1.14, 1.14
    35, 1.14, 1.92, 1.32
    38, 1.14, 2.08, 1.47
    41, 1.14, 2.07, 1.58
    45, 1.14, 2.07, 1.71
    49, 1.14, 2.08, 1.84
    54, 1.14, 2.08, 1.95
    59, 1.14, 2.08, 2.06
    64, 1.14, 2.08, 2.14
    70, 1.14, 2.08, 2.23
    76, 1.14, 2.08, 2.32
    83, 1.14, 2.08, 2.38
    91, 1.14, 2.08, 2.45
    99, 1.14, 2.08, 2.51
   108, 1.14, 2.08, 2.56
   117, 1.14, 2.09, 2.61
   128, 1.14, 2.07, 2.65
   140, 1.14, 2.08, 2.69
   152, 1.14, 2.07, 2.72
   166, 1.14, 2.08, 2.75
   181, 1.14, 2.07, 2.78
   197, 1.14, 2.08, 2.81
   215, 1.14, 2.07, 2.82
   235, 1.14, 2.07, 2.85
   256, 1.14, 2.09, 2.89
   279, 1.14, 2.10, 3.03
   304, 1.14, 2.16, 3.20
   332, 1.14, 2.28, 3.50
   362, 1.14, 2.30, 3.71
   395, 1.14, 2.40, 3.97
   431, 1.14, 2.40, 4.02
   470, 1.14, 2.44, 4.14
   512, 1.14, 2.44, 4.24
   558, 1.14, 2.67, 4.64
   609, 1.14, 2.84, 5.07
   664, 1.14, 2.93, 5.43
   724, 1.14, 3.10, 5.84
   790, 1.14, 3.19, 6.21
   861, 1.14, 3.23, 6.59
   939, 1.14, 3.28, 6.89
  1024, 1.14, 3.30, 7.20
  1117, 1.14, 3.29, 7.50
  1218, 1.14, 3.31, 7.76
  1328, 1.14, 3.31, 7.99
  1448, 1.14, 3.31, 8.21
  1579, 1.14, 3.31, 8.41
  1722, 1.14, 3.31, 8.58
  1878, 1.14, 3.30, 8.76
  2048, 1.14, 3.31, 8.91
  2233, 1.14, 3.31, 9.06
  2435, 1.14, 3.31, 9.19
  2656, 1.14, 3.32, 9.30
  2896, 1.14, 3.31, 9.41
  3158, 1.14, 3.31, 9.51
  3444, 1.14, 3.31, 9.59
  3756, 1.14, 3.31, 9.68
  4096, 1.14, 3.31, 9.75
  4467, 1.14, 3.30, 9.82
  4871, 1.14, 3.31, 9.88
  5312, 1.14, 3.31, 9.94
  5793, 1.14, 3.31, 10.00
  6317, 1.14, 3.31, 10.07
  6889, 1.14, 3.31, 10.12
  7512, 1.14, 3.31, 10.16
  8192, 1.14, 3.32, 10.22
  8933, 1.14, 3.32, 10.51
  9742, 1.14, 3.33, 11.00
 10624, 1.14, 3.47, 11.38
 11585, 1.14, 3.73, 12.19
 12634, 1.14, 4.40, 13.47
 13777, 1.14, 5.37, 14.98
 15024, 1.14, 6.60, 16.81
 16384, 1.14, 8.01, 19.34
 17867, 1.15, 9.83, 23.57
 19484, 1.15, 12.08, 24.49
 21247, 1.14, 13.78, 29.10
 23170, 1.15, 15.24, 32.80
 25268, 1.16, 16.50, 41.15
 27554, 1.16, 17.12, 45.26
 30048, 1.16, 17.52, 48.94
 32768, 1.15, 22.33, 48.40
 35734, 1.16, 22.45, 55.48
 38968, 1.15, 22.46, 54.66
 42495, 1.15, 22.49, 57.60
 46341, 1.16, 22.50, 63.26
 50535, 1.16, 22.51, 65.57
 55109, 1.17, 22.51, 67.46
 60097, 1.16, 22.48, 69.26
 65536, 1.15, 22.48, 70.93
 71468, 1.16, 22.50, 72.43
 77936, 1.16, 22.48, 73.88
 84990, 1.17, 22.54, 75.29
 92682, 1.17, 22.54, 76.67
101070, 1.15, 22.54, 77.91
110218, 1.15, 22.52, 77.71
120194, 1.17, 22.55, 80.05
131072, 1.16, 22.56, 81.13
142935, 1.15, 22.51, 82.19
155872, 1.15, 22.42, 83.03
169979, 1.17, 22.53, 82.99
185364, 1.16, 22.51, 83.86
202141, 1.17, 22.54, 85.01
220436, 1.17, 22.56, 84.97
240387, 1.17, 22.54, 86.74
262144, 1.15, 22.53, 87.46

read
     4,  65.7, 197.0, 336.1, 462.4, 582.2, 707.6, 845.0, 957.0,
     4, 129.1, 193.7, 332.9, 459.2, 581.9, 701.9, 829.1, 965.7,
     5, 128.6, 202.8, 322.8, 460.2, 580.1, 701.5, 829.2, 956.6,
     5, 118.4, 193.7, 322.8, 450.4, 593.8, 701.5, 829.1, 956.6,
     6, 128.6, 201.9, 322.8, 458.6, 575.9, 701.5, 829.2, 956.6,
     6, 128.6, 192.8, 321.4, 455.5, 575.8, 701.5, 829.1, 953.0,
     7, 128.6, 192.8, 321.4, 455.5, 575.8, 701.5, 829.1, 956.6,
     7, 128.6, 192.8, 321.4, 456.7, 575.8, 701.5, 829.1, 956.6,
     8, 128.6, 202.0, 321.5, 455.5, 593.8, 701.5, 829.1, 964.9,
     9, 128.6, 193.7, 321.7, 450.0, 575.9, 701.5, 832.6, 953.0,
    10, 128.6, 243.0, 321.4, 455.5, 575.9, 698.5, 829.1, 953.0,
    10, 128.6, 188.2, 321.8, 458.6, 575.9, 701.5, 829.1, 956.6,
    11, 128.6, 192.8, 330.6, 446.4, 593.8, 701.3, 826.0, 952.7,
    12, 128.6, 192.8, 330.5, 455.5, 575.8, 701.5, 826.7, 961.2,
    13, 128.6, 192.8, 321.3, 449.6, 575.8, 701.5, 826.0, 956.1,
    15, 128.0, 192.8, 321.3, 458.1, 575.8, 707.5, 827.8, 952.7,
    16, 128.6, 252.1, 321.9, 448.4, 593.7, 701.5, 829.1, 956.6,
    17, 125.0, 192.7, 321.3, 446.8, 593.7, 701.5, 829.1, 952.6,
    19, 128.6, 192.7, 321.4, 455.5, 575.9, 701.5, 825.5, 961.2,
    21, 128.6, 193.0, 321.8, 458.6, 593.7, 709.9, 825.5, 952.6,
    23, 125.9, 192.7, 321.8, 446.4, 575.8, 701.5, 825.5, 953.0,
    25, 125.9, 192.7, 321.4, 446.4, 575.8, 701.5, 829.1, 953.0,
    27, 125.9, 192.7, 321.3, 455.5, 575.8, 701.5, 834.5, 956.6,
    29, 126.4, 255.0, 321.3, 446.8, 572.3, 698.9, 829.0, 953.0,
    32, 126.0, 192.8, 324.9, 458.6, 575.8, 698.9, 825.5, 952.6,
    35, 123.5, 232.3, 330.5, 455.4, 593.3, 701.5, 837.7, 964.3,
    38, 123.5, 201.9, 327.2, 458.6, 575.9, 701.5, 815.1, 961.1,
    41, 123.4, 191.3, 321.3, 455.4, 575.8, 698.7, 826.7, 946.1,
