ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (19042)
CPU: AMD Ryzen 9 5950X 16-Core Processor 
RAM: Used 3050 MB, Total 32713 MB

inter core latency
   15.71,   40.51,   39.48,   39.42,   39.88,   39.23,   39.12,   39.37
   39.68,   15.38,   39.73,   39.73,   39.68,   39.71,   39.69,   39.81
   39.45,   39.43,   15.32,   40.11,   39.04,   39.55,   39.21,   39.08
   39.48,   39.45,   39.00,   15.17,   39.18,   39.39,   39.44,   39.24
   40.47,   40.52,   39.96,   39.97,   15.22,   40.55,   40.05,   40.14
   40.47,   40.59,   40.66,   40.74,   40.70,   15.46,   41.01,   40.70
   39.28,   39.57,   39.09,   39.03,   39.02,   39.40,   15.10,   39.32
   39.41,   39.47,   39.43,   39.34,   39.34,   39.54,   39.39,   15.42

ram latency
, sequantial, cacheline forward2, full random
     4, 1.02, 1.02, 1.01
     4, 1.01, 1.01, 1.02
     5, 1.02, 1.02, 1.02
     5, 1.01, 1.01, 1.01
     6, 1.01, 1.01, 1.01
     6, 1.01, 1.01, 1.01
     7, 1.01, 1.01, 1.01
     7, 1.01, 1.01, 1.01
     8, 1.01, 1.00, 1.00
     9, 1.01, 1.01, 1.00
    10, 1.00, 1.00, 1.00
    10, 1.01, 1.01, 1.00
    11, 1.01, 1.00, 1.01
    12, 1.01, 1.00, 1.00
    13, 1.01, 1.01, 1.00
    15, 1.00, 1.00, 1.00
    16, 1.01, 1.01, 1.00
    17, 1.01, 1.00, 1.00
    19, 1.01, 1.00, 1.00
    21, 1.01, 1.00, 1.00
    23, 1.01, 1.00, 1.01
    25, 1.01, 1.00, 1.01
    27, 1.01, 1.00, 1.00
    29, 1.01, 1.00, 1.00
    32, 1.01, 1.04, 1.01
    35, 1.01, 1.62, 1.15
    38, 1.01, 1.76, 1.29
    41, 1.01, 1.77, 1.39
    45, 1.01, 1.76, 1.51
    49, 1.01, 1.76, 1.59
    54, 1.01, 1.77, 1.68
    59, 1.01, 1.76, 1.78
    64, 1.01, 1.77, 1.83
    70, 1.01, 1.77, 1.91
    76, 1.01, 1.76, 1.97
    83, 1.01, 1.79, 2.02
    91, 1.01, 1.78, 2.07
