ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (19042)
CPU: AMD Ryzen 9 5950X 16-Core Processor 
RAM: Used 3261 MB, Total 32712 MB

inter core latency
   15.54,   36.33,   37.28,   37.52,   38.17,   40.74,   41.53,   40.39,  153.17,  153.57,  155.25,  155.66,  156.73,  157.23,  158.78,  159.05
   36.62,   15.82,   37.79,   37.86,   39.82,   38.91,   41.70,   41.03,  154.17,  153.88,  155.84,  156.38,  157.07,  157.75,  158.61,  159.66
   37.62,   37.52,   15.61,   39.19,   39.82,   40.76,   42.05,   42.26,  154.71,  154.43,  156.64,  156.91,  158.35,  159.67,  160.29,  160.20
   37.63,   37.50,   39.76,   15.27,   39.68,   40.67,   42.96,   42.12,  154.29,  154.28,  156.39,  156.82,  157.95,  159.44,  160.05,  160.00
   38.25,   38.40,   39.77,   40.07,   15.39,   42.65,   43.00,   43.14,  156.56,  156.40,  157.81,  159.20,  159.89,  161.08,  162.92,  161.82
   39.89,   38.73,   41.06,   40.68,   43.01,   15.85,   44.16,   44.00,  157.35,  156.70,  159.52,  159.60,  160.72,  161.12,  162.92,  162.98
   40.60,   40.40,   41.60,   41.71,   42.60,   43.59,   15.56,   45.19,  158.19,  157.59,  160.05,  160.66,  161.79,  162.89,  164.13,  163.72
   40.53,   41.47,   43.42,   42.47,   43.57,   43.94,   46.64,   15.53,  158.34,  158.28,  159.99,  160.49,  161.83,  162.55,  163.55,  163.80
  153.59,  153.40,  154.36,  154.51,  156.39,  157.17,  157.87,  159.07,   15.45,   34.56,   37.37,   37.02,   38.27,   38.35,   41.44,   40.42
  153.31,  153.35,  154.25,  154.31,  155.80,  156.94,  157.52,  158.50,   36.04,   15.52,   37.18,   37.10,   39.15,   38.69,   41.32,   40.08
  155.38,  156.33,  156.49,  156.75,  158.00,  159.83,  159.70,  160.61,   36.98,   37.05,   15.57,   39.43,   40.40,   40.60,   42.46,   42.40
  155.06,  155.51,  156.40,  156.39,  158.68,  159.65,  160.10,  160.36,   37.39,   37.39,   40.45,   15.97,   41.11,   40.83,   43.49,   42.63
  157.18,  156.75,  158.45,  158.87,  160.40,  161.30,  162.30,  162.99,   38.74,   38.54,   40.69,   40.55,   15.70,   42.77,   43.56,   43.48
  156.80,  156.52,  158.96,  159.73,  160.33,  163.37,  162.24,  163.11,   39.57,   38.83,   41.03,   41.86,   42.93,   15.97,   44.28,   44.10
  159.25,  159.66,  160.85,  161.09,  163.06,  163.28,  164.30,  164.42,   40.86,   40.59,   42.80,   42.66,   43.79,   43.83,   15.88,   46.34
  158.04,  158.69,  159.93,  159.79,  161.51,  162.94,  163.25,  163.84,   41.28,   41.15,   43.21,   42.34,   43.45,   43.88,   46.39,   15.64

ram latency
, sequantial, cacheline forward2, full random
     4, 1.01, 1.02, 1.02
     4, 1.02, 1.02, 1.03
     5, 1.03, 1.03, 1.03
     5, 1.03, 1.04, 1.04
     6, 1.04, 1.04, 1.04
     6, 1.04, 1.04, 1.03
     7, 1.04, 1.04, 1.04
     7, 1.03, 1.03, 1.04
     8, 1.03, 1.03, 1.03
     9, 1.07, 1.02, 1.03
    10, 1.09, 1.03, 1.03
    10, 1.09, 1.03, 1.03
    11, 1.12, 1.03, 1.03
    12, 1.13, 1.03, 1.03
    13, 1.11, 1.03, 1.03
    15, 1.11, 1.03, 1.03
    16, 1.03, 1.03, 1.03
    17, 1.03, 1.03, 1.03
    19, 1.03, 1.03, 1.03
    21, 1.03, 1.03, 1.03
    23, 1.03, 1.02, 1.01
    25, 1.02, 1.01, 1.03
    27, 1.03, 1.01, 1.01
    29, 1.03, 1.01, 1.03
    32, 1.03, 1.06, 1.03
    35, 1.04, 1.71, 1.17
    38, 1.03, 1.80, 1.31
    41, 1.04, 1.80, 1.41
    45, 1.03, 1.79, 1.52
    49, 1.01, 1.81, 1.63
    54, 1.03, 1.78, 1.71
    59, 1.03, 1.79, 1.81
    64, 1.03, 1.79, 1.85
    70, 1.01, 1.81, 1.92
    76, 1.03, 1.77, 1.97
    83, 1.00, 1.79, 2.06
    91, 1.02, 1.80, 2.10
    99, 1.03, 1.81, 2.13
   108, 1.02, 1.82, 2.18
   117, 1.03, 1.79, 2.22
   128, 1.02, 1.81, 2.26
   140, 1.02, 1.80, 2.30
   152, 1.03, 1.80, 2.36
   166, 1.02, 1.80, 2.37
   181, 1.01, 1.80, 2.41
   197, 1.02, 1.80, 2.42
   215, 1.03, 1.80, 2.44
   235, 1.03, 1.80, 2.45
   256, 1.04, 1.94, 2.67
   279, 1.03, 1.99, 2.85
   304, 1.03, 1.97, 3.00
   332, 1.03, 2.07, 3.20
   362, 1.03, 2.03, 3.37
   395, 1.03, 2.00, 3.35
   431, 1.02, 2.21, 3.87
   470, 1.04, 2.28, 4.08
   512, 1.00, 2.46, 4.38
   558, 1.01, 2.69, 4.56
   609, 1.02, 2.61, 5.08
   664, 1.02, 2.78, 5.51
   724, 1.02, 3.09, 5.83
   790, 1.02, 3.08, 6.48
   861, 1.02, 3.22, 6.82
   939, 1.02, 3.22, 6.92
  1024, 1.02, 3.23, 6.58
  1117, 1.03, 3.14, 6.92
  1218, 1.13, 3.13, 7.35
  1328, 1.39, 3.10, 7.34
  1448, 1.02, 3.24, 8.07
  1579, 1.02, 3.20, 8.14
  1722, 1.02, 3.20, 8.23
  1878, 1.02, 3.20, 8.52
  2048, 1.02, 3.17, 8.66
  2233, 1.02, 3.06, 8.96
  2435, 1.01, 3.05, 9.16
  2656, 1.02, 3.19, 9.30
  2896, 1.02, 3.18, 9.44
