ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: ecore

Environment Info
OS : Ubuntu 20.04.6 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU: Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
RAM: Used 2407 MB, Total 7691 MB

Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
CPU cores
  core  0 E : *-------
  core  1 E : -*------
  core  2 E : --*-----
  core  3 E : ---*----
  core  4 P : ----*---
  core  5 P : -----*--
  core  6 P : ------*-
  core  7 P : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0 E,     1 E,     2 E,     3 E
   0 E,        ,   83.53,   87.16,   72.91
   1 E,   90.08,        ,   89.62,   68.31
   2 E,  111.49,  113.96,        ,   82.99
   3 E,  101.34,  117.95,   88.69,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 2.33, 3.25, 2.22
      4, 2.22, 2.22, 2.22
      5, 2.22, 2.22, 2.22
      5, 2.22, 2.22, 2.22
      6, 2.22, 2.22, 2.22
      6, 2.22, 2.22, 2.22
      7, 2.22, 2.22, 2.22
      7, 2.22, 2.22, 2.22
      8, 2.22, 2.22, 2.22
      9, 2.22, 2.26, 2.24
     10, 2.22, 2.24, 2.24
     10, 2.22, 2.26, 2.22
     11, 2.22, 2.25, 2.23
     12, 2.22, 2.21, 2.22
     13, 2.22, 2.25, 2.23
     15, 2.22, 2.24, 2.23
     16, 2.22, 2.24, 2.22
     17, 2.22, 2.24, 2.24
     19, 2.22, 2.27, 2.23
     21, 2.22, 2.27, 2.23
     23, 2.22, 2.25, 2.24
     25, 2.26, 2.28, 2.27
     27, 2.22, 2.27, 2.25
     29, 2.22, 2.23, 2.26
     32, 2.22, 2.22, 2.23
     35, 2.24, 2.82, 2.54
     38, 2.24, 3.41, 2.85
     41, 2.23, 3.82, 3.07
     45, 2.23, 4.23, 3.38
     49, 2.23, 4.49, 3.55
     54, 2.23, 4.77, 3.76
     59, 2.23, 5.00, 3.96
     64, 2.22, 5.25, 4.19
     70, 2.23, 5.45, 4.43
     76, 2.23, 5.60, 4.72
     83, 2.22, 5.72, 4.89
     91, 2.22, 6.41, 5.34
     99, 2.22, 7.00, 5.81
    108, 2.22, 7.21, 6.01
    117, 2.22, 7.46, 6.29
    128, 2.22, 8.07, 6.77
    140, 2.22, 8.43, 7.09
    152, 2.22, 8.90, 7.47
    166, 2.22, 9.80, 8.05
    181, 2.22, 10.94, 8.71
    197, 2.22, 11.96, 9.41
    215, 2.22, 12.42, 9.89
    235, 2.22, 13.13, 10.51
    256, 2.22, 13.50, 10.93
    279, 2.22, 14.30, 11.43
    304, 2.22, 14.76, 12.01
    332, 2.22, 15.01, 12.37
    362, 2.22, 15.30, 12.84
