ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: pcore

Environment Info
OS : Ubuntu 20.04.6 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU: Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
RAM: Used 2461 MB, Total 7691 MB

Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
CPU cores
  core  0 E : *-------
  core  1 E : -*------
  core  2 E : --*-----
  core  3 E : ---*----
  core  4 P : ----*---
  core  5 P : -----*--
  core  6 P : ------*-
  core  7 P : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0 P,     1 P,     2 P,     3 P
   0 P,        ,  220.97,  107.21,   76.54
   1 P,   62.45,        ,  162.08,   85.94
   2 P,   83.04,   86.35,        ,   61.36
   3 P,  157.90,   97.51,   75.84,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 4.05, 3.20, 2.28
      4, 2.17, 2.17, 2.17
      5, 2.17, 2.17, 2.17
      5, 2.17, 2.17, 2.17
      6, 2.17, 2.17, 2.17
      6, 2.17, 2.17, 2.17
      7, 2.17, 2.17, 2.17
      7, 2.17, 2.17, 2.17
      8, 2.17, 2.16, 2.17
      9, 2.17, 2.16, 2.17
     10, 2.16, 2.16, 2.16
     10, 2.17, 2.16, 2.17
     11, 2.16, 2.16, 2.16
     12, 2.16, 2.16, 2.16
     13, 2.16, 2.16, 2.16
     15, 2.16, 2.16, 2.16
     16, 2.16, 2.16, 2.16
     17, 2.16, 2.16, 2.16
     19, 2.16, 2.16, 2.16
     21, 2.16, 2.16, 2.16
     23, 2.16, 2.16, 2.16
     25, 2.16, 2.16, 2.16
     27, 2.16, 2.16, 2.16
     29, 2.16, 2.16, 2.16
     32, 2.16, 2.16, 2.16
     35, 2.16, 2.16, 2.16
     38, 2.16, 2.16, 2.16
     41, 2.16, 2.16, 2.16
     45, 2.16, 2.16, 2.16
     49, 2.16, 2.16, 2.16
     54, 2.16, 2.16, 2.16
     59, 2.17, 2.16, 2.16
     64, 2.17, 2.16, 2.17
     70, 2.18, 3.04, 2.42
     76, 2.20, 3.85, 2.66
     83, 2.20, 4.14, 2.88
     91, 2.19, 4.10, 3.06
     99, 2.19, 4.09, 3.20
    108, 2.19, 4.03, 3.36
    117, 2.20, 4.05, 3.49
    128, 2.20, 4.04, 3.62
    140, 2.17, 4.03, 3.73
    152, 2.19, 4.05, 3.84
    166, 2.19, 4.06, 3.94
    181, 2.20, 4.06, 4.02
    197, 2.20, 4.08, 4.18
    215, 2.20, 4.09, 4.42
    235, 2.19, 4.07, 4.61
    256, 2.20, 4.20, 4.89
    279, 2.20, 4.20, 5.14
    304, 2.20, 4.34, 5.78
    332, 2.20, 4.45, 6.38
    362, 2.20, 4.47, 6.68
    395, 2.20, 4.43, 6.71
    431, 2.19, 4.45, 6.96
    470, 2.19, 4.44, 7.14
    512, 2.19, 4.46, 7.70
    558, 2.20, 4.51, 8.02
    609, 2.19, 4.56, 8.74
    664, 2.19, 4.60, 9.29
    724, 2.19, 4.69, 9.99
    790, 2.20, 4.77, 10.75
    861, 2.21, 4.82, 11.31
    939, 2.20, 4.90, 11.99
   1024, 2.21, 4.97, 12.59
   1117, 2.22, 5.02, 13.14
   1218, 2.20, 5.06, 13.71
   1328, 2.21, 5.10, 14.09
   1448, 2.22, 5.18, 14.83
   1579, 2.20, 5.44, 15.48
   1722, 2.22, 5.84, 17.26
   1878, 2.22, 6.08, 19.01
   2048, 2.20, 6.40, 21.36
   2233, 2.21, 6.62, 23.15
   2435, 2.21, 6.70, 26.53
   2656, 2.21, 7.04, 29.66
   2896, 2.21, 7.67, 33.23
   3158, 2.22, 8.68, 40.00
   3444, 2.22, 9.62, 49.90
   3756, 2.21, 10.85, 61.69
   4096, 2.21, 11.91, 73.87
   4467, 2.19, 12.70, 86.42
   4871, 2.19, 13.64, 99.23
   5312, 2.19, 13.99, 110.26
   5793, 2.19, 15.08, 121.93
   6317, 2.20, 15.13, 134.44
   6889, 2.20, 15.74, 142.46
   7512, 2.20, 15.78, 152.28
   8192, 2.20, 16.19, 159.34
   8933, 2.20, 16.49, 168.99
   9742, 2.18, 17.06, 176.67
  10624, 2.19, 16.96, 179.93
  11585, 2.21, 17.21, 185.84
  12634, 2.21, 17.37, 191.12
  13777, 2.19, 17.37, 196.18
  15024, 2.20, 17.65, 200.85
  16384, 2.20, 18.14, 204.85
  17867, 2.21, 18.00, 208.75
  19484, 2.20, 18.25, 214.91
  21247, 2.20, 18.61, 217.50
  23170, 2.20, 18.60, 221.67
