ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 7 x64 (7601)
CPU: Intel Core2 Duo P8600 @ 2.40GHz (2C/2T)
RAM: Used 1553 MB, Total 3962 MB

inter core latency
,       ,  108.11
   40.53,       

ram latency
, sequantial, cacheline forward2, full random
     4, 1.26, 1.26, 1.26
     4, 1.20, 1.20, 1.26
     5, 1.24, 1.26, 1.20
     5, 1.20, 1.20, 1.20
     6, 1.20, 1.20, 1.20
     6, 1.19, 1.19, 1.19
     7, 1.26, 1.25, 1.19
     7, 1.26, 1.26, 1.26
     8, 1.19, 1.19, 1.19
     9, 1.19, 1.19, 1.26
    10, 1.26, 1.26, 1.19
    10, 1.19, 1.19, 1.19
    11, 1.19, 1.19, 1.19
    12, 1.26, 1.26, 1.19
    13, 1.19, 1.19, 1.19
    15, 1.19, 1.19, 1.19
    16, 1.26, 1.22, 1.19
    17, 1.19, 1.19, 1.26
    19, 1.26, 1.26, 1.19
    21, 1.19, 1.19, 1.26
    23, 1.26, 1.19, 1.19
    25, 1.19, 1.26, 1.19
    27, 1.19, 1.19, 1.19
    29, 1.26, 1.26, 1.19
    32, 1.26, 1.26, 1.19
    35, 1.31, 4.84, 1.64
    38, 1.34, 5.93, 2.07
    41, 1.44, 6.09, 2.37
    45, 1.34, 6.20, 4.26
    49, 1.43, 5.93, 2.97
    54, 1.34, 6.07, 3.22
    59, 1.44, 5.98, 3.47
    64, 1.34, 5.96, 3.68
    70, 1.44, 5.96, 3.96
    76, 1.34, 6.24, 4.20
    83, 1.34, 5.97, 4.70
    91, 1.44, 6.28, 4.61
    99, 1.34, 5.96, 5.10
   108, 1.44, 6.02, 4.92
   117, 1.34, 6.01, 5.08
   128, 1.34, 5.97, 5.23
   140, 1.34, 5.98, 5.35
   152, 1.34, 6.02, 5.81
   166, 1.34, 6.00, 5.93
   181, 1.44, 6.30, 5.74
   197, 1.34, 5.95, 5.75
   215, 1.34, 6.28, 5.83
   235, 1.44, 6.06, 5.91
   256, 1.34, 6.02, 6.31
   279, 1.34, 5.95, 6.08
   304, 1.39, 5.95, 6.17
   332, 1.34, 5.95, 6.49
   362, 1.44, 6.28, 6.20
   395, 1.42, 6.10, 6.24
   431, 1.44, 6.28, 6.29
   470, 1.44, 5.95, 6.32
   512, 1.34, 5.94, 6.40
   558, 1.34, 5.95, 6.40
   609, 1.44, 6.00, 6.45
   664, 1.44, 5.95, 6.49
   724, 1.44, 5.95, 6.46
   790, 1.44, 5.95, 6.49
   861, 1.34, 5.95, 6.96
   939, 1.44, 6.28, 6.55
  1024, 1.35, 5.98, 6.54
  1117, 1.35, 6.31, 7.30
  1218, 1.45, 6.34, 7.60
  1328, 1.45, 6.35, 7.73
  1448, 1.45, 6.01, 7.50
  1579, 1.45, 6.01, 7.70
  1722, 1.45, 6.35, 7.82
  1878, 1.45, 8.80, 8.54
  2048, 1.45, 6.01, 8.68
  2233, 1.35, 6.10, 8.84
  2435, 1.45, 6.38, 9.16
  2656, 1.41, 6.96, 9.14
  2896, 1.47, 6.67, 9.70
  3158, 2.39, 27.45, 15.04
  3444, 4.26, 56.10, 20.59
  3756, 4.86, 68.11, 28.69
  4096, 5.52, 75.11, 34.92
  4467, 5.52, 79.23, 41.84
  4871, 5.48, 95.07, 46.40
  5312, 5.43, 81.17, 59.83
  5793, 5.35, 117.83, 55.25
  6317, 5.28, 80.81, 58.03
  6889, 5.15, 95.21, 98.35
  7512, 5.22, 124.96, 65.86
  8192, 5.23, 101.98, 100.06
  8933, 5.29, 81.93, 84.40
  9742, 5.27, 159.11, 74.95
 10624, 5.28, 82.11, 117.09
 11585, 5.21, 82.91, 80.23
 12634, 5.43, 124.69, 83.02
 13777, 5.23, 114.55, 97.75
 15024, 5.32, 109.37, 96.36
 16384, 5.22, 159.03, 150.18
 17867, 5.31, 87.97, 139.30
 19484, 5.54, 102.94, 166.63
 21247, 5.26, 137.32, 114.39
 23170, 5.19, 97.59, 115.13
 25268, 5.24, 82.31, 136.93
 27554, 5.28, 134.93, 100.83
 30048, 5.19, 104.31, 133.60
 32768, 5.29, 93.10, 153.15
 35734, 5.23, 115.00, 120.05
 38968, 5.23, 134.06, 157.17
 42495, 5.37, 98.89, 130.60
 46341, 5.25, 82.38, 141.19
 50535, 5.19, 130.87, 176.86
 55109, 5.20, 125.65, 141.20
 60097, 5.18, 101.13, 130.73
 65536, 5.26, 121.31, 161.29
 71468, 5.25, 112.59, 141.34
 77936, 5.41, 103.92, 127.22
 84990, 5.20, 121.50, 166.41
 92682, 5.25, 112.43, 163.44
101070, 5.20, 130.39, 154.68
110218, 5.20, 116.65, 151.60
120194, 5.19, 93.76, 143.99
131072, 5.20, 119.23, 139.85
142935, 5.25, 97.77, 127.71
155872, 5.31, 99.12, 144.77
169979, 5.22, 102.36, 134.86
185364, 5.20, 99.56, 141.81
202141, 5.12, 94.76, 121.05
220436, 5.14, 108.70, 123.82
240387, 5.33, 127.77, 128.99
262144, 5.18, 96.45, 129.42

read bandwidth
     4,  35.4,  71.0,
     4,  35.3,  71.0,
     5,  35.3,  71.0,
     5,  35.3,  71.0,
     6,  35.3,  71.0,
     6,  35.5,  71.0,
     7,  35.5,  71.0,
     7,  35.5,  71.0,
     8,  35.5,  71.0,
     9,  34.9,  71.0,
    10,  34.9,  71.0,
    10,  34.9,  71.0,
    11,  35.0,  71.0,
    12,  35.0,  71.0,
    13,  35.1,  71.0,
    15,  35.2,  71.0,
    16,  35.2,  71.0,
    17,  35.2,  69.7,
    19,  35.3,  69.7,
    21,  35.3,  69.7,
    23,  35.3,  70.0,
    25,  35.3,  70.0,
    27,  35.3,  70.3,
    29,  35.3,  70.3,
    32,  34.6,  70.4,
    35,  18.4,  70.4,
    38,  16.3,  70.4,
    41,  16.2,  70.6,
    45,  17.2,  70.7,
    49,  16.3,  70.6,
    54,  17.2,  70.6,
    59,  17.2,  70.5,
    64,  16.3,  68.8,
    70,  17.2,  34.8,
    76,  17.2,  31.1,
    83,  16.3,  31.2,
    91,  16.3,  31.2,
    99,  16.3,  31.2,
   108,  16.3,  31.1,
   117,  16.3,  31.1,
   128,  16.3,  31.1,
   140,  16.3,  31.7,
   152,  16.3,  31.2,
   166,  16.3,  31.2,
   181,  16.3,  31.2,
   197,  16.3,  31.2,
   215,  16.3,  31.2,
   235,  16.3,  31.2,
   256,  16.3,  31.2,
   279,  16.3,  31.2,
   304,  16.3,  31.2,
   332,  16.3,  31.2,
   362,  16.1,  31.2,
   395,  16.1,  31.3,
   431,  16.1,  31.2,
   470,  16.1,  31.2,
   512,  16.1,  31.3,
   558,  16.1,  31.3,
   609,  16.1,  31.4,
   664,  16.1,  31.3,
   724,  16.1,  31.3,
   790,  16.1,  31.3,
   861,  16.1,  31.3,
   939,  16.1,  31.4,
  1024,  16.0,  31.4,
  1117,  15.9,  31.4,
  1218,  15.8,  31.5,
  1328,  15.7,  31.4,
  1448,  15.7,  31.5,
  1579,  15.5,  31.4,
  1722,  15.3,  31.5,
  1878,  14.9,  31.4,
  2048,  14.2,  31.2,
  2233,  12.9,  31.1,
  2435,   9.2,  30.9,
  2656,   7.0,  30.8,
  2896,   5.5,  30.4,
  3158,   9.1,  17.5,
  3444,   5.5,   8.9,
  3756,   5.0,   7.8,
  4096,   5.1,   7.3,
  4467,   4.9,   7.0,
  4871,   4.8,   6.8,
  5312,   4.8,   6.7,
  5793,   4.7,   6.7,
  6317,   4.7,   6.6,
  6889,   3.9,   6.6,
  7512,   4.1,   6.6,
  8192,   4.1,   6.6,
  8933,   4.6,   6.6,
  9742,   4.7,   6.6,
 10624,   4.7,   6.7,
 11585,   4.7,   6.7,
 12634,   4.8,   6.7,
 13777,   4.8,   6.7,
 15024,   4.7,   6.7,
 16384,   4.8,   6.7,
 17867,   4.7,   6.6,
 19484,   4.7,   6.6,
 21247,   4.7,   6.6,
 23170,   4.7,   6.7,
 25268,   4.7,   6.6,
 27554,   4.7,   6.7,
 30048,   4.7,   6.7,
 32768,   4.7,   6.6,
 35734,   4.7,   6.6,
 38968,   4.7,   6.5,
 42495,   4.6,   6.6,
 46341,   4.6,   6.7,
 50535,   4.7,   6.7,
 55109,   4.7,   6.6,
 60097,   4.7,   6.6,
 65536,   4.7,   6.7,
 71468,   4.7,   6.7,
 77936,   4.7,   6.7,
 84990,   4.7,   6.7,
 92682,   4.7,   6.6,
101070,   4.6,   6.7,
110218,   4.6,   6.6,
120194,   4.7,   6.6,
131072,   4.8,   6.7,
142935,   4.8,   6.6,
155872,   4.8,   6.6,
169979,   4.8,   6.6,
185364,   4.8,   6.6,
202141,   4.8,   6.6,
220436,   4.8,   6.6,
240387,   4.7,   6.6,
262144,   4.8,   6.6,

write bandwidth
     4,  30.5,  67.3,
     4,  31.0,  67.3,
     5,  31.0,  67.3,
     5,  31.0,  67.6,
     6,  31.0,  67.3,
     6,  31.0,  67.6,
     7,  33.7,  67.9,
     7,  31.0,  67.9,
     8,  31.3,  67.9,
     9,  30.5,  67.9,
    10,  30.5,  67.9,
    10,  30.5,  67.9,
    11,  30.5,  67.9,
    12,  30.5,  67.9,
    13,  30.7,  67.9,
    15,  30.5,  67.9,
    16,  30.5,  67.9,
    17,  30.8,  66.1,
    19,  30.8,  66.1,
    21,  30.8,  66.8,
    23,  33.7,  66.7,
    25,  30.6,  66.6,
    27,  33.8,  66.7,
    29,  33.8,  67.0,
    32,  33.4,  66.8,
    35,  17.7,  67.3,
    38,  15.8,  67.3,
    41,  15.8,  67.2,
    45,  15.8,  67.3,
    49,  15.8,  67.4,
    54,  15.8,  67.6,
    59,  15.8,  67.5,
    64,  15.8,  66.8,
    70,  15.8,  27.3,
    76,  15.8,  23.7,
    83,  16.6,  23.3,
    91,  15.8,  23.7,
    99,  15.8,  23.7,
   108,  15.8,  23.8,
   117,  15.8,  23.7,
   128,  15.8,  23.7,
   140,  15.8,  23.8,
   152,  15.8,  23.7,
   166,  15.8,  23.8,
   181,  15.8,  23.2,
   197,  15.8,  23.7,
   215,  15.8,  23.7,
   235,  15.8,  23.7,
   256,  15.8,  23.7,
   279,  15.8,  23.7,
   304,  15.8,  23.7,
   332,  15.8,  23.7,
   362,  15.8,  23.8,
   395,  15.8,  23.8,
   431,  15.8,  23.3,
   470,  15.8,  23.7,
   512,  14.3,  23.7,
   558,  14.2,  23.8,
   609,  15.8,  23.7,
   664,  15.8,  23.7,
   724,  14.3,  23.7,
   790,  15.8,  23.8,
   861,  15.8,  23.7,
   939,  14.3,  23.8,
  1024,  15.5,  23.7,
  1117,  15.4,  23.7,
  1218,  15.1,  23.8,
  1328,  15.0,  23.7,
  1448,  15.0,  23.7,
  1579,  15.0,  23.8,
  1722,  15.0,  23.3,
  1878,  15.1,  23.1,
  2048,  15.0,  23.3,
  2233,  15.0,  23.0,
  2435,  15.0,  22.7,
  2656,  15.0,  22.5,
  2896,  14.9,  22.4,
  3158,   6.6,  11.1,
  3444,   3.2,   3.2,
  3756,   2.6,   4.1,
  4096,   2.4,   2.3,
  4467,   2.3,   2.2,
  4871,   2.3,   2.1,
  5312,   2.2,   2.1,
  5793,   2.2,   2.1,
  6317,   2.2,   2.1,
  6889,   2.2,   2.1,
  7512,   2.2,   2.1,
  8192,   2.2,   2.1,
  8933,   2.2,   2.1,
  9742,   2.2,   2.1,
 10624,   2.2,   2.1,
 11585,   2.2,   2.1,
 12634,   2.2,   2.1,
 13777,   2.2,   2.1,
 15024,   2.2,   2.1,
 16384,   2.2,   2.1,
 17867,   2.2,   2.1,
 19484,   2.2,   2.1,
 21247,   2.2,   2.1,
 23170,   2.2,   2.1,
 25268,   2.2,   2.1,
 27554,   2.2,   2.1,
 30048,   2.2,   2.1,
 32768,   2.2,   2.1,
 35734,   2.2,   2.1,
 38968,   2.2,   2.1,
 42495,   2.2,   2.1,
 46341,   2.2,   2.1,
 50535,   2.2,   2.1,
 55109,   2.2,   2.1,
 60097,   2.2,   2.1,
 65536,   2.2,   2.1,
 71468,   2.2,   2.1,
 77936,   2.2,   2.1,
 84990,   2.2,   2.1,
 92682,   2.2,   2.1,
101070,   2.2,   2.1,
110218,   2.2,   2.1,
120194,   2.0,   2.1,
131072,   2.2,   2.1,
142935,   2.2,   2.1,
155872,   2.2,   2.1,
169979,   2.2,   2.1,
185364,   2.2,   2.1,
202141,   2.2,   2.1,
220436,   2.2,   2.1,
240387,   2.2,   2.1,
262144,   2.2,   2.1,
