ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19044) [CP932]
CPU: Intel Core i3-4170 @ 3.70GHz (2C/4T)
RAM: Used 2234 MB, Total 7885 MB

Intel Core i3-4170 @ 3.70GHz (2C/4T)
CPU cores
  core  0   : **--
  core  1   : --**
CPU caches
  cache L1D : **-- :  8way     32KB
  cache L1I : **-- :  8way     32KB
  cache L1D : --** :  8way     32KB
  cache L1I : --** :  8way     32KB
  cache L2  : **-- :  8way    256KB
  cache L2  : --** :  8way    256KB
  cache L3  : **** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  
   0  ,    7.65,   19.26
   1  ,   19.09,    7.65

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.37, 1.36, 1.36
      4, 1.36, 1.36, 1.36
      5, 1.36, 1.36, 1.37
      5, 1.36, 1.36, 1.36
      6, 1.36, 1.36, 1.36
      6, 1.36, 1.36, 1.42
      7, 1.36, 1.36, 1.36
      7, 1.36, 1.36, 1.36
      8, 1.36, 1.36, 1.36
      9, 1.36, 1.36, 1.36
     10, 1.36, 1.36, 1.36
     10, 1.36, 1.37, 1.42
     11, 1.36, 1.36, 1.36
     12, 1.36, 1.36, 1.36
     13, 1.36, 1.47, 1.36
     15, 1.36, 1.36, 1.36
     16, 1.36, 1.35, 1.36
     17, 1.36, 1.37, 1.36
     19, 1.36, 1.35, 1.36
     21, 1.36, 1.35, 1.36
     23, 1.42, 1.35, 1.36
     25, 1.36, 1.35, 1.36
     27, 1.36, 1.35, 1.38
     29, 1.36, 1.35, 1.36
     32, 1.36, 1.40, 1.36
     35, 1.36, 2.84, 1.55
     38, 1.36, 3.19, 1.72
     41, 1.36, 3.20, 1.85
     45, 1.36, 3.18, 1.99
     49, 1.36, 3.13, 2.12
     54, 1.36, 3.18, 2.32
     59, 1.36, 3.18, 2.31
     64, 1.35, 3.19, 2.38
     70, 1.35, 3.23, 2.54
     76, 1.48, 3.25, 2.79
     83, 1.47, 3.48, 2.60
     91, 1.36, 3.18, 2.66
     99, 1.35, 3.14, 2.72
    108, 1.35, 3.25, 2.76
    117, 1.35, 3.19, 2.81
    128, 1.35, 3.14, 2.84
    140, 1.35, 3.25, 2.89
    152, 1.35, 3.15, 2.92
    166, 1.35, 3.15, 2.95
    181, 1.35, 3.17, 2.97
    197, 1.35, 3.16, 3.01
    215, 1.35, 3.15, 3.01
    235, 1.35, 3.16, 3.04
    256, 1.35, 3.29, 3.17
    279, 1.35, 4.43, 3.82
    304, 1.35, 4.79, 4.59
    332, 1.35, 4.80, 5.09
    362, 1.35, 4.98, 5.63
    395, 1.35, 4.96, 6.53
    431, 1.36, 4.98, 6.57
    470, 1.35, 4.98, 7.08
