ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19043) [CP932]
CPU: Intel Core i5-1035G7 @ 1.20GHz [TB: 3.70GHz] (4C/8T)
RAM: Used 3207 MB, Total 7778 MB

Intel Core i5-1035G7 @ 1.20GHz [TB: 3.70GHz] (4C/8T)
CPU cores
  core  0   : **------
  core  1   : --**----
  core  2   : ----**--
  core  3   : ------**
CPU caches
  cache L1D : **------ : 12way     48KB
  cache L1I : **------ :  8way     32KB
  cache L1D : --**---- : 12way     48KB
  cache L1I : --**---- :  8way     32KB
  cache L1D : ----**-- : 12way     48KB
  cache L1I : ----**-- :  8way     32KB
  cache L1D : ------** : 12way     48KB
  cache L1I : ------** :  8way     32KB
  cache L2  : **------ :  8way    512KB
  cache L2  : --**---- :  8way    512KB
  cache L2  : ----**-- :  8way    512KB
  cache L2  : ------** :  8way    512KB
  cache L3  : ******** : 12way   6144KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
   0  ,    9.57,   40.28,   60.96,   80.94
   1  ,   60.36,   12.93,   49.94,   66.58
   2  ,   79.07,   71.03,   16.34,   60.73
   3  ,   45.59,   59.71,   50.46,   10.34

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.53, 3.60, 2.40
      4, 1.80, 1.53, 1.53
      5, 1.53, 1.53, 1.40
      5, 1.36, 1.36, 1.37
      6, 1.36, 1.55, 1.36
      6, 1.36, 1.36, 1.51
      7, 1.36, 1.36, 1.36
      7, 1.67, 1.36, 1.36
      8, 1.36, 1.56, 1.36
      9, 1.36, 1.36, 1.54
     10, 1.67, 1.59, 1.52
     10, 1.58, 1.36, 1.36
     11, 1.36, 1.64, 1.36
     12, 1.36, 1.36, 1.75
     13, 1.36, 1.36, 1.36
     15, 1.67, 1.36, 1.36
     16, 1.36, 1.51, 1.36
     17, 1.36, 1.36, 1.61
     19, 1.36, 1.35, 1.36
     21, 1.82, 1.35, 1.36
     23, 1.36, 1.37, 1.36
     25, 1.36, 1.35, 1.37
     27, 1.36, 1.35, 1.36
     29, 1.36, 1.35, 1.36
     32, 1.72, 1.39, 1.36
     35, 1.61, 1.35, 1.81
     38, 1.84, 1.38, 1.85
     41, 1.36, 1.61, 1.37
     45, 1.83, 1.44, 1.44
     49, 1.82, 2.21, 1.42
     54, 1.36, 3.64, 1.62
     59, 1.61, 3.30, 1.79
     64, 1.42, 3.30, 1.95
     70, 1.36, 3.30, 2.09
     76, 1.36, 3.30, 2.23
     83, 1.36, 3.31, 2.31
     91, 1.46, 3.30, 2.43
     99, 1.52, 3.30, 2.52
    108, 1.35, 3.38, 2.61
    117, 1.35, 3.30, 2.67
    128, 1.35, 3.30, 2.74
    140, 1.36, 3.31, 2.82
    152, 1.62, 3.30, 3.08
    166, 1.36, 3.30, 2.93
    181, 1.43, 3.30, 2.99
    197, 1.35, 3.29, 3.02
    215, 1.35, 3.31, 5.08
    235, 1.39, 3.30, 3.11
    256, 1.35, 3.31, 3.16
    279, 1.35, 3.32, 3.33
    304, 1.35, 3.97, 3.87
    332, 1.62, 3.34, 3.73
    362, 1.35, 3.32, 3.82
    395, 1.38, 3.33, 3.95
    431, 1.48, 3.32, 4.10
    470, 1.35, 3.53, 4.26
    512, 1.37, 3.46, 4.35
    558, 1.45, 4.47, 5.16
    609, 1.35, 4.80, 5.90
    664, 1.35, 5.10, 6.46
    724, 1.35, 5.40, 7.00
    790, 1.35, 5.28, 7.98
    861, 1.35, 5.30, 8.45
    939, 1.37, 5.48, 9.29
   1024, 1.35, 5.49, 9.04
   1117, 1.35, 5.53, 9.24
   1218, 1.37, 5.48, 9.56
   1328, 1.35, 5.49, 9.87
   1448, 1.35, 5.48, 10.57
   1579, 1.35, 5.48, 10.79
   1722, 1.37, 5.51, 10.98
   1878, 1.35, 5.49, 10.85
   2048, 1.61, 5.73, 11.36
   2233, 1.35, 5.49, 11.46
   2435, 1.36, 5.49, 11.52
   2656, 1.36, 6.04, 11.69
   2896, 1.39, 5.70, 12.05
   3158, 1.36, 5.82, 12.15
   3444, 1.35, 5.48, 12.59
   3756, 1.36, 5.58, 12.74
   4096, 1.36, 6.43, 17.55
   4467, 1.36, 8.51, 17.81
   4871, 1.37, 10.33, 19.73
   5312, 1.37, 11.88, 23.55
   5793, 1.36, 11.99, 25.92
   6317, 1.37, 13.73, 28.32
   6889, 1.37, 13.88, 37.74
   7512, 1.37, 15.61, 39.39
   8192, 1.37, 16.36, 46.69
   8933, 1.37, 16.69, 73.42
   9742, 1.37, 16.60, 63.41
  10624, 1.37, 17.37, 71.12
  11585, 1.42, 16.87, 74.72
  12634, 1.37, 17.98, 83.11
  13777, 1.37, 18.22, 85.36
  15024, 1.41, 18.53, 88.91
  16384, 1.40, 19.39, 90.53
  17867, 1.40, 19.56, 94.55
  19484, 1.43, 19.84, 98.25
  21247, 1.41, 20.16, 101.33
  23170, 1.40, 21.63, 105.03
  25268, 1.43, 20.51, 107.26
  27554, 1.44, 21.29, 110.48
  30048, 1.41, 21.66, 112.49
  32768, 1.43, 21.84, 114.21
  35734, 1.41, 21.58, 117.41
  38968, 1.42, 22.08, 118.65
  42495, 1.40, 21.87, 120.90
  46341, 1.42, 21.99, 122.65
  50535, 1.40, 22.15, 124.51
  55109, 1.41, 20.64, 119.48
  60097, 1.38, 21.03, 120.56
  65536, 1.38, 21.01, 121.96
  71468, 1.39, 21.00, 123.11
  77936, 1.38, 20.98, 124.39
  84990, 1.38, 21.09, 125.63
  92682, 1.38, 21.16, 134.33
 101070, 1.39, 23.07, 135.28
 110218, 1.39, 23.04, 136.56
 120194, 1.41, 23.15, 147.04
 131072, 1.56, 25.37, 159.84
 142935, 1.73, 40.72, 178.04
 155872, 1.94, 27.26, 141.25
 169979, 1.43, 20.87, 131.20
 185364, 1.39, 21.32, 141.57
 202141, 1.39, 21.29, 143.98
 220436, 1.38, 21.31, 140.48
 240387, 1.39, 21.35, 137.78
 262144, 1.39, 21.35, 142.44
 285870, 1.38, 21.43, 139.38
 311744, 1.38, 21.39, 140.42
 339959, 1.39, 21.42, 142.55
 370728, 1.38, 21.45, 142.94
 404281, 1.71, 24.00, 162.05
 440872, 1.80, 25.34, 130.13
 480774, 2.21, 28.96, 124.77
 524288, 2.29, 28.93, 126.39

read bandwidth (GB/s)
      4, 347.2, 773.7,1107.6,1508.3,
      4, 347.1, 766.4,1107.6,1486.0,
      5, 339.6, 801.2,1126.8,1420.6,
      5, 363.3, 673.9, 997.2,1391.1,
      6, 347.1, 657.9,1010.3,1404.2,
      6, 312.4, 686.9,1013.4,1405.8,
      7, 347.1, 679.3,1015.5,1416.1,
      7, 339.6, 679.7,1014.2,1403.1,
      8, 312.5, 631.9,1107.6,1514.4,
      9, 400.5, 719.3,1096.0,1502.3,
     10, 390.5, 719.3,1101.7,1508.2,
     10, 284.0, 700.9,1107.6,1520.7,
     11, 289.2, 719.3,1107.6,1491.2,
     12, 306.2, 713.0,1101.7,1496.7,
     13, 283.9, 713.0,1101.5,1508.2,
     15, 289.3, 695.3,1107.4,1496.7,
     16, 260.4, 707.0,1101.5,1496.7,
     17, 256.1, 690.9,1107.4,1496.5,
     19, 274.1, 679.8,1090.4,1496.4,
     21, 274.1, 696.8,1119.9,1507.9,
     23, 274.0, 646.5,1095.9,1507.9,
     25, 274.0, 650.7,1097.4,1514.1,
     27, 278.6, 619.6,1093.5,1514.1,
     29, 260.2, 623.4,1040.2,1514.1,
     32, 274.1, 623.8,1070.3,1496.7,
     35, 278.9, 636.7,1048.4,1480.9,
     38, 260.1, 645.9,1014.0,1471.9,
     41, 268.9, 646.0,1018.5,1444.5,
     45, 150.2, 650.8,1000.7,1406.6,
     49,  81.6, 645.6, 990.6,1360.6,
     54,  54.4, 654.3,1000.6,1355.0,
     59, 147.0, 761.7,1022.8,1345.9,
     64,  53.3, 641.4,1018.0,1363.6,
     70,  56.4, 660.0,1031.8,1432.6,
     76, 145.9, 761.6,1031.3,1381.1,
     83, 145.7, 760.7,1040.3,1389.8,
     91,  50.1, 527.0,1036.0,1394.6,
     99,  54.1, 330.0,1035.3,1403.0,
    108,  53.6, 281.7, 959.6,1319.7,
    117,  52.6, 201.5,1040.5,1402.3,
    128,  55.0, 194.6,1026.0,1417.4,
    140,  52.1, 200.2, 893.6,1422.0,
    152,  51.2, 198.9, 434.4,1421.5,
    166,  54.1, 199.9, 344.1,1414.6,
    181,  50.7, 199.7, 348.0,1326.8,
    197,  53.3, 198.2, 344.6, 854.0,
    215,  52.2, 197.0, 343.2, 496.3,
    235,  50.9, 198.0, 343.0, 490.5,
    256,  54.3, 199.0, 340.7, 492.6,
    279,  58.1, 195.4, 345.9, 493.6,
    304,  51.6, 204.0, 342.9, 490.3,
    332, 134.9, 200.4, 345.6, 495.1,
    362,  52.6, 197.1, 350.3, 491.3,
    395,  52.0, 197.4, 345.0, 492.3,
    431,  50.7, 201.0, 346.3, 488.7,
    470,  44.3, 199.0, 346.9, 490.2,
    512,  39.2, 196.8, 344.3, 490.9,
    558,  31.4, 201.6, 344.0, 489.5,
    609,  28.4, 201.8, 347.7, 488.8,
    664,  25.6, 197.4, 342.5, 493.9,
    724,  24.9, 195.7, 343.5, 542.8,
    790,  24.5, 196.3, 343.7, 496.3,
    861,  23.7, 196.2, 344.4, 491.0,
    939,  23.2, 187.2, 341.1, 492.4,
   1024,  23.7, 173.3, 342.1, 492.0,
   1117,  24.6, 115.1, 345.9, 487.5,
   1218,  23.9, 100.6, 339.6, 493.9,
   1328,  24.4,  91.4, 337.0, 489.8,
   1448,  24.2,  89.9, 308.0, 487.1,
   1579,  23.8,  87.4, 242.3, 486.5,
   1722,  23.9,  86.8, 182.8, 483.4,
   1878,  24.1,  86.0, 163.7, 545.5,
   2048,  23.9,  85.6, 150.2, 300.9,
   2233,  26.7,  85.5, 142.6, 281.0,
   2435,  23.3,  85.9, 138.0, 238.6,
   2656,  23.6,  85.8, 135.9, 215.2,
   2896,  23.6,  86.4, 136.4, 207.9,
   3158,  24.6, 119.9, 135.4, 198.5,
   3444,  23.8,  87.8, 135.2, 193.1,
   3756,  22.2,  85.5, 135.3, 196.0,
   4096,  55.6,  82.9, 154.2, 184.9,
   4467,  20.9,  82.0, 130.3, 190.9,
   4871,  20.0,  76.5, 123.8, 178.9,
   5312,  18.7,  78.6, 124.9, 176.3,
   5793,  18.0,  78.0, 106.8, 160.1,
   6317,  16.5,  75.5, 105.1, 154.3,
   6889,  15.4,  71.1,  97.1, 141.8,
   7512,  14.7,  72.4,  94.2, 121.3,
   8192,  13.7,  70.0,  85.3, 114.9,
   8933,  12.3,  43.7,  88.6, 107.8,
   9742,  12.9,  41.2,  57.8,  70.5,
  10624,  11.5,  37.9,  58.2,  69.9,
  11585,  20.3,  35.5,  57.7,  67.3,
  12634,  10.2,  36.0,  61.2,  85.0,
  13777,  10.3,  34.4,  48.9,  59.5,
  15024,   9.9,  33.7,  46.8,  55.5,
  16384,  10.3,  32.7,  45.0,  54.3,
  17867,  10.8,  31.1,  43.7,  52.5,
  19484,  10.1,  30.7,  43.2,  51.7,
  21247,  10.2,  29.9,  42.0,  50.7,
  23170,  10.0,  29.5,  41.0,  49.5,
  25268,  10.1,  28.7,  40.2,  48.9,
  27554,  10.7,  34.4,  39.7,  48.3,
  30048,  10.5,  28.2,  39.4,  47.8,
  32768,  10.6,  27.5,  38.4,  46.8,
  35734,  10.6,  27.7,  38.7,  44.8,
  38968,  10.4,  27.5,  38.3,  46.7,
  42495,  10.8,  27.5,  38.1,  46.4,
  46341,  10.5,  27.2,  38.0,  45.9,
  50535,  10.7,  27.0,  37.8,  45.5,
  55109,  10.5,  26.7,  37.7,  45.4,
  60097,  10.6,  26.8,  37.3,  45.3,
  65536,  10.3,  26.5,  37.2,  45.1,
  71468,  10.6,  26.4,  37.1,  45.0,
  77936,  10.4,  26.5,  37.0,  44.5,
  84990,  10.6,  26.4,  36.9,  50.8,
  92682,  10.4,  26.4,  36.7,  44.6,
 101070,  10.4,  26.2,  36.7,  44.3,
 110218,  10.8,  26.2,  36.6,  45.6,
 120194,  10.4,  26.1,  36.5,  44.3,
 131072,  10.4,  25.9,  36.2,  44.2,
 142935,  10.3,  25.9,  36.2,  43.9,
 155872,  10.3,  25.9,  36.1,  43.2,
 169979,  10.3,  25.8,  35.8,  43.7,
 185364,  10.2,  25.5,  35.9,  43.5,
 202141,  10.2,  25.4,  34.6,  43.5,
 220436,  10.2,  25.4,  35.4,  43.4,
 240387,  10.2,  25.3,  36.2,  42.9,
 262144,  10.2,  25.7,  35.3,  42.9,
 285870,  10.2,  25.2,  35.4,  42.8,
 311744,  10.2,  25.1,  35.1,  42.9,
 339959,  10.1,  25.0,  35.2,  43.2,
 370728,  10.1,  24.9,  35.2,  42.9,
 404281,  10.1,  24.9,  35.1,  42.9,
 440872,  10.1,  25.0,  35.0,  42.6,
 480774,  10.1,  25.0,  35.0,  42.7,
 524288,  10.1,  24.9,  35.1,  42.5,

write bandwidth (GB/s)
      4, 130.2, 324.3, 514.6, 731.2,
      4, 128.0, 330.5, 528.7, 729.0,
      5, 153.1, 281.2, 476.5, 678.9,
      5, 153.1, 277.1, 481.6, 684.0,
      6, 150.2, 281.2, 478.6, 664.8,
      6, 150.2, 276.2, 483.7, 684.0,
      7, 153.1, 274.2, 480.7, 741.4,
      7, 153.1, 281.2, 483.6, 679.8,
      8, 153.2, 281.3, 528.6, 731.2,
      9, 200.3, 324.2, 530.7, 731.1,
     10, 200.3, 330.4, 528.6, 731.0,
     10, 200.3, 326.2, 528.6, 731.0,
     11, 200.2, 321.2, 530.8, 728.9,
     12, 128.0, 328.3, 528.7, 726.8,
     13, 127.9, 330.4, 526.5, 728.9,
     15, 122.0, 330.4, 530.7, 728.9,
     16, 126.0, 328.4, 530.7, 729.0,
     17, 122.0, 330.3, 528.6, 728.9,
     19, 126.0, 328.3, 528.6, 728.9,
     21, 120.2, 330.4, 526.5, 731.0,
     23, 125.9, 324.2, 526.6, 731.0,
     25, 125.7, 319.1, 530.6, 716.8,
     27, 123.8, 323.9, 532.9, 728.9,
     29, 121.8, 305.4, 530.7, 731.0,
     32, 124.0, 301.6, 518.5, 727.0,
     35, 128.0, 305.6, 501.6, 726.6,
     38, 125.5, 322.3, 497.8, 730.9,
     41, 120.0, 322.1, 495.9, 726.8,
     45, 200.3, 326.2, 512.1, 719.5,
     49,  98.6, 400.0, 505.5, 726.5,
     54,  21.6, 325.9, 507.9, 715.2,
