ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 8.1 x64 (9600)
CPU: Intel Core i5-2410M @ 2.30GHz [TB: 2.89GHz] (2C/4T)
RAM: Used 961 MB, Total 4011 MB

inter core latency
   22.50,   51.83
   32.49,   24.15

ram latency
, sequantial, cacheline forward2, full random
     4, 1.74, 1.74, 1.74
     4, 1.86, 1.86, 1.74
     5, 1.74, 1.74, 1.74
     5, 1.73, 1.73, 1.73
     6, 1.80, 1.80, 1.80
     6, 1.80, 1.73, 1.86
     7, 1.86, 1.86, 1.74
     7, 1.73, 1.73, 1.73
     8, 1.73, 1.78, 1.80
     9, 1.73, 1.73, 1.73
    10, 1.73, 1.73, 1.73
    10, 1.86, 1.73, 1.73
    11, 1.86, 1.86, 1.73
    12, 1.86, 1.86, 1.86
    13, 1.86, 1.86, 1.86
    15, 1.86, 1.86, 1.86
    16, 1.73, 1.73, 1.86
    17, 1.73, 1.73, 1.86
    19, 1.86, 1.73, 1.86
    21, 1.86, 1.73, 1.73
    23, 1.73, 1.73, 1.73
    25, 1.73, 1.73, 1.73
    27, 1.73, 1.73, 1.73
    29, 1.73, 1.73, 1.73
    32, 1.73, 1.74, 1.73
    35, 1.74, 3.81, 1.97
    38, 1.73, 4.01, 2.34
    41, 1.77, 4.02, 2.50
    45, 1.86, 4.31, 2.51
    49, 1.73, 4.01, 2.65
    54, 1.73, 4.01, 3.01
    59, 1.86, 4.30, 2.89
    64, 1.73, 4.04, 3.21
    70, 1.73, 4.07, 3.33
    76, 1.73, 4.03, 3.19
    83, 1.73, 4.42, 3.25
    91, 1.73, 4.07, 3.34
    99, 1.73, 4.02, 3.66
   108, 1.73, 4.05, 3.47
   117, 1.73, 4.41, 3.53
   128, 1.73, 4.37, 3.58
   140, 1.73, 4.07, 3.62
   152, 1.73, 4.06, 3.67
   166, 1.73, 4.38, 3.71
   181, 1.73, 4.37, 3.75
   197, 1.73, 4.06, 3.77
   215, 1.73, 4.06, 4.10
   235, 1.73, 4.06, 3.84
   256, 1.73, 4.35, 3.90
   279, 1.74, 5.78, 4.60
   304, 1.74, 5.81, 5.24
   332, 1.74, 5.82, 5.82
   362, 1.74, 5.83, 6.37
   395, 1.87, 6.25, 6.84
   431, 1.74, 5.82, 7.30
   470, 1.74, 5.81, 8.25
   512, 1.74, 5.83, 8.06
   558, 1.74, 5.83, 8.39
   609, 1.74, 5.82, 8.73
   664, 1.74, 6.32, 8.98
   724, 1.74, 5.82, 9.23
   790, 1.74, 5.81, 9.46
   861, 1.87, 5.82, 9.70
   939, 1.87, 6.25, 10.35
  1024, 1.87, 6.27, 10.05
  1117, 1.74, 6.27, 10.21
  1218, 1.74, 6.27, 10.37
  1328, 1.74, 6.27, 10.51
  1448, 1.87, 5.84, 11.51
  1579, 1.87, 5.84, 11.54
  1722, 1.87, 6.41, 11.03
  1878, 1.74, 6.27, 11.01
  2048, 1.88, 6.75, 12.05
  2233, 1.88, 6.90, 12.56
  2435, 1.76, 7.99, 13.21
  2656, 1.91, 10.19, 16.18
  2896, 1.90, 10.52, 17.94
  3158, 1.91, 12.54, 21.26
  3444, 1.79, 13.82, 25.63
  3756, 1.93, 15.82, 29.49
  4096, 1.82, 16.77, 33.18
  4467, 1.94, 17.37, 36.99
  4871, 1.85, 17.90, 40.27
  5312, 1.94, 18.25, 43.56
  5793, 1.82, 18.44, 46.46
  6317, 1.94, 18.50, 49.29
  6889, 1.95, 18.67, 51.62
  7512, 1.94, 18.66, 53.86
  8192, 1.83, 18.66, 56.24
  8933, 1.97, 18.75, 58.03
  9742, 1.81, 18.66, 59.71
 10624, 1.82, 18.64, 61.26
 11585, 1.96, 18.62, 63.07
 12634, 1.83, 18.68, 64.39
 13777, 1.82, 18.62, 65.55
 15024, 1.83, 18.62, 66.94
 16384, 1.83, 18.62, 68.08
 17867, 1.84, 18.70, 68.82
 19484, 1.83, 18.66, 69.70
 21247, 1.82, 18.63, 70.60
 23170, 1.83, 18.64, 71.42
 25268, 1.84, 18.64, 72.13
 27554, 1.83, 18.65, 72.83
 30048, 1.83, 18.67, 73.50
 32768, 1.82, 18.64, 74.17
 35734, 1.83, 18.65, 74.98
 38968, 1.83, 18.68, 75.57
 42495, 1.83, 18.66, 76.02
 46341, 1.82, 18.67, 76.77
 50535, 1.83, 18.71, 77.14
 55109, 1.82, 18.65, 77.84
 60097, 1.82, 18.70, 78.43
 65536, 1.82, 18.68, 79.04
 71468, 1.82, 18.65, 79.41
 77936, 1.82, 18.68, 80.14
 84990, 1.83, 18.68, 80.79
 92682, 1.82, 18.67, 81.43
101070, 1.82, 18.67, 82.00
110218, 1.82, 18.68, 82.59
120194, 1.82, 18.68, 83.11
131072, 1.82, 18.67, 83.63
142935, 1.82, 18.68, 84.07
155872, 1.82, 18.67, 84.65
169979, 1.82, 18.71, 85.25
185364, 1.82, 18.69, 85.60
202141, 1.82, 18.68, 85.95
220436, 1.82, 18.67, 86.66
240387, 1.82, 18.68, 87.07
262144, 1.94, 18.70, 87.79

read
     4,  78.9, 151.4,
     4,  80.5, 161.1,
     5,  80.5, 161.0,
     5,  80.5, 160.2,
     6,  80.5, 161.0,
     6,  80.5, 161.0,
     7,  80.5, 161.0,
     7,  85.8, 161.1,
     8,  80.5, 161.1,
     9,  80.5, 161.0,
    10,  80.5, 161.0,
    10,  85.8, 161.0,
    11,  80.5, 161.0,
    12,  85.8, 161.0,
    13,  80.4, 161.0,
    15,  85.8, 148.8,
    16,  80.5, 161.1,
    17,  86.8, 161.0,
    19,  80.5, 161.0,
    21,  85.8, 161.0,
    23,  80.5, 161.0,
    25,  85.7, 161.0,
    27,  80.4, 160.9,
    29,  80.3, 160.9,
    32,  80.5, 160.3,
    35,  36.3, 161.0,
    38,  33.4, 161.0,
    41,  35.4, 156.1,
    45,  34.3, 161.0,
    49,  36.1, 157.6,
    54,  36.0, 160.9,
    59,  33.5, 160.7,
    64,  33.7, 161.1,
    70,  32.0,  67.6,
    76,  36.1,  61.8,
    83,  34.6,  65.8,
    91,  31.1,  67.2,
    99,  34.3,  62.4,
   108,  35.9,  62.3,
   117,  33.8,  62.1,
   128,  34.1,  64.7,
   140,  34.4,  65.5,
   152,  31.9,  65.1,
   166,  34.8,  63.1,
   181,  34.8,  66.7,
   197,  34.5,  63.9,
   215,  34.0,  63.9,
   235,  33.7,  64.8,
   256,  31.1,  65.5,
   279,  31.8,  63.9,
   304,  30.6,  64.7,
   332,  29.2,  64.8,
   362,  28.4,  65.6,
   395,  27.4,  64.8,
   431,  26.0,  63.6,
   470,  25.5,  63.8,
   512,  25.4,  61.8,
   558,  25.4,  59.2,
   609,  25.3,  57.1,
   664,  25.3,  54.6,
   724,  25.3,  52.9,
   790,  25.3,  49.8,
   861,  25.3,  48.0,
   939,  25.2,  47.3,
  1024,  25.3,  47.2,
  1117,  25.4,  47.2,
  1218,  25.3,  47.2,
  1328,  25.0,  47.2,
  1448,  24.8,  47.1,
  1579,  25.3,  47.1,
  1722,  25.3,  49.0,
  1878,  25.3,  47.1,
  2048,  25.1,  46.6,
  2233,  23.8,  44.8,
  2435,  22.7,  42.1,
  2656,  21.8,  39.3,
  2896,  19.6,  34.1,
  3158,  18.1,  29.6,
  3444,  16.7,  25.3,
  3756,  15.5,  22.6,
  4096,  15.2,  20.6,
  4467,  14.1,  19.6,
  4871,  14.2,  19.1,
  5312,  13.6,  18.6,
  5793,  13.6,  18.2,
  6317,  13.3,  17.8,
  6889,  13.4,  17.9,
  7512,  13.2,  17.5,
  8192,  13.4,  17.5,
  8933,  13.4,  17.5,
  9742,  13.4,  17.7,
 10624,  13.5,  17.8,
 11585,  13.5,  17.5,
 12634,  13.5,  17.5,
 13777,  13.5,  17.7,
 15024,  13.5,  17.8,
 16384,  13.6,  17.5,
 17867,  13.5,  17.8,
 19484,  13.2,  17.8,
 21247,  13.2,  17.8,
 23170,  13.2,  17.8,
 25268,  13.2,  17.8,
 27554,  13.3,  17.8,
 30048,  13.4,  17.8,
 32768,  13.4,  17.8,
 35734,  13.5,  17.6,
 38968,  13.4,  17.8,
 42495,  13.5,  17.8,
 46341,  13.5,  17.8,
 50535,  13.6,  17.8,
 55109,  13.6,  17.8,
 60097,  13.6,  17.8,
 65536,  13.6,  17.8,
 71468,  13.6,  17.8,
 77936,  13.6,  17.8,
 84990,  13.6,  17.8,
 92682,  13.6,  17.8,
101070,  13.6,  17.8,
110218,  13.7,  17.8,
120194,  13.7,  17.8,
131072,  13.7,  17.8,
142935,  13.7,  17.8,
155872,  13.6,  17.8,
169979,  13.7,  17.8,
185364,  13.7,  17.8,
202141,  13.7,  17.8,
220436,  13.7,  17.8,
240387,  13.7,  17.8,
262144,  13.7,  17.8,

write
     4,  17.8,  80.5,
     4,  40.3,  80.5,
     5,  40.3,  80.5,
     5,  40.2,  80.5,
     6,  40.2,  80.5,
     6,  40.3,  80.5,
     7,  40.3,  80.5,
     7,  40.3,  80.5,
     8,  40.3,  80.5,
     9,  39.8,  80.5,
    10,  39.8,  80.5,
    10,  39.8,  80.5,
    11,  39.8,  79.3,
    12,  39.8,  80.5,
    13,  39.8,  80.5,
    15,  39.8,  80.5,
    16,  39.9,  80.5,
    17,  39.8,  80.0,
    19,  40.3,  79.6,
    21,  40.3,  79.7,
    23,  40.3,  79.7,
    25,  40.1,  73.2,
    27,  40.1,  79.6,
    29,  43.1,  79.6,
    32,  39.9,  79.7,
    35,  26.4,  75.8,
    38,  24.8,  80.4,
    41,  26.2,  80.0,
    45,  25.2,  80.5,
    49,  24.8,  76.4,
    54,  23.6,  80.2,
    59,  23.5,  77.6,
    64,  23.3,  79.7,
    70,  23.3,  51.2,
    76,  23.3,  46.7,
    83,  23.2,  47.0,
    91,  23.7,  46.9,
    99,  25.6,  46.9,
   108,  25.2,  46.5,
   117,  23.4,  47.1,
   128,  23.5,  48.2,
   140,  23.8,  48.4,
   152,  25.4,  47.3,
   166,  24.0,  47.4,
   181,  23.9,  47.2,
   197,  23.8,  47.5,
   215,  23.7,  47.4,
   235,  23.7,  47.3,
   256,  25.4,  47.9,
   279,  22.6,  48.3,
   304,  22.3,  47.6,
   332,  23.5,  47.3,
   362,  21.5,  47.5,
   395,  21.6,  47.5,
   431,  20.7,  47.5,
   470,  18.8,  47.3,
   512,  19.6,  47.2,
   558,  18.5,  46.0,
   609,  18.1,  44.7,
   664,  18.6,  43.7,
   724,  19.4,  42.7,
   790,  19.4,  39.9,
   861,  18.2,  38.2,
   939,  19.5,  37.0,
  1024,  19.4,  36.4,
  1117,  19.4,  36.2,
  1218,  18.1,  36.1,
  1328,  19.4,  36.0,
  1448,  19.3,  36.2,
  1579,  19.3,  36.0,
