ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19045) [CP932]
CPU: Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
RAM: Used 3726 MB, Total 32468 MB

Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  8way     32KB
  cache L1I : *--- :  8way     32KB
  cache L1D : -*-- :  8way     32KB
  cache L1I : -*-- :  8way     32KB
  cache L1D : --*- :  8way     32KB
  cache L1I : --*- :  8way     32KB
  cache L1D : ---* :  8way     32KB
  cache L1I : ---* :  8way     32KB
  cache L2  : *--- :  4way    256KB
  cache L2  : -*-- :  4way    256KB
  cache L2  : --*- :  4way    256KB
  cache L2  : ---* :  4way    256KB
  cache L3  : **** : 12way   6144KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
   0  ,,        ,   23.28,   24.96,   24.16
   1  ,   25.22,        ,   20.30,   20.91
   2  ,   23.81,   20.37,        ,   21.00
   3  ,   24.77,   20.83,   21.00,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.37, 1.36, 1.36
      4, 1.36, 1.36, 1.36
      5, 1.36, 1.49, 1.41
      5, 1.36, 1.36, 1.32
      6, 1.32, 1.32, 1.32
      6, 1.34, 1.43, 1.36
      7, 1.32, 1.32, 1.32
      7, 1.32, 1.32, 1.32
      8, 1.37, 1.37, 1.36
      9, 1.32, 1.35, 1.32
     10, 1.32, 1.32, 1.32
     10, 3.24, 2.17, 1.79
     11, 1.57, 1.48, 1.40
     12, 1.38, 1.32, 1.32
     13, 1.32, 1.32, 1.37
     15, 1.32, 1.32, 1.38
     16, 1.39, 1.32, 1.32
     17, 1.32, 1.32, 1.32
     19, 1.32, 1.41, 1.39
     21, 1.52, 1.32, 1.32
     23, 1.32, 1.32, 1.32
     25, 1.46, 1.32, 1.32
     27, 1.32, 1.32, 1.32
     29, 1.32, 1.32, 1.32
     32, 1.32, 1.32, 1.32
     35, 1.33, 2.59, 1.50
     38, 1.32, 2.99, 1.66
     41, 1.32, 3.01, 1.90
     45, 1.36, 3.12, 1.90
     49, 1.32, 3.02, 2.01
     54, 1.32, 3.01, 2.10
     59, 1.32, 3.02, 2.20
     64, 1.32, 3.02, 2.27
     70, 1.34, 3.01, 2.35
     76, 1.32, 3.01, 2.42
     83, 1.42, 3.02, 2.48
     91, 1.32, 3.01, 2.55
     99, 1.32, 3.01, 2.59
    108, 1.32, 3.07, 2.65
    117, 1.32, 3.01, 2.70
    128, 1.32, 3.00, 2.73
    140, 1.32, 3.12, 2.76
    152, 1.32, 3.05, 2.80
