ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (18363)
CPU: Intel Core i7-4610Y @ 1.70GHz [TB: 2.89GHz] (2C/4T)
RAM: Used 2200 MB, Total 3991 MB

inter core latency
   38.82,   75.82
   79.01,   43.36

ram latency
, sequantial, cacheline forward2, full random
     4, 1.74, 1.74, 1.74
     4, 1.74, 1.74, 1.74
     5, 1.74, 1.74, 1.74
     5, 1.73, 1.73, 1.73
     6, 1.93, 1.76, 1.73
     6, 1.73, 1.73, 1.73
     7, 1.73, 1.73, 1.73
     7, 1.73, 1.93, 1.93
     8, 1.73, 1.73, 1.73
     9, 1.73, 1.73, 1.73
    10, 1.73, 1.73, 1.73
    10, 1.73, 1.73, 1.73
    11, 1.93, 1.93, 1.73
    12, 1.73, 1.73, 1.73
    13, 1.73, 1.73, 1.73
    15, 1.73, 1.73, 1.73
    16, 1.73, 1.73, 1.73
    17, 1.73, 1.73, 1.73
    19, 1.73, 1.73, 1.73
    21, 1.93, 1.93, 1.73
    23, 1.73, 1.73, 1.73
    25, 1.73, 1.93, 1.93
    27, 1.73, 1.73, 1.73
    29, 1.73, 1.73, 1.73
    32, 1.74, 1.77, 1.93
    35, 1.73, 3.59, 1.98
    38, 1.73, 4.04, 2.20
    41, 1.73, 4.01, 2.37
    45, 1.73, 4.11, 2.54
    49, 1.73, 4.00, 2.69
    54, 1.73, 4.13, 2.82
    59, 1.73, 3.98, 2.97
    64, 1.73, 4.02, 3.30
    70, 1.73, 4.00, 3.16
    76, 1.73, 4.09, 3.25
    83, 1.73, 4.01, 3.31
    91, 1.73, 4.02, 3.38
    99, 1.93, 4.11, 3.46
   108, 1.73, 4.47, 3.93
   117, 1.73, 4.09, 3.57
   128, 1.73, 4.08, 3.58
   140, 1.73, 4.07, 3.67
   152, 1.73, 4.01, 3.71
   166, 1.73, 4.06, 3.75
   181, 1.99, 4.06, 3.79
   197, 1.73, 4.05, 3.81
   215, 1.73, 4.01, 3.85
   235, 1.93, 4.06, 3.89
   256, 1.73, 4.64, 3.92
   279, 1.73, 5.74, 4.88
   304, 1.73, 6.26, 5.69
   332, 1.73, 6.25, 6.48
   362, 1.82, 6.36, 7.19
   395, 1.73, 6.37, 7.90
   431, 1.73, 6.36, 8.45
   470, 1.93, 6.40, 8.94
   512, 1.73, 6.37, 9.44
   558, 1.73, 6.37, 9.93
   609, 1.73, 6.30, 10.28
   664, 1.93, 6.23, 10.67
   724, 1.73, 6.25, 10.97
   790, 1.79, 6.25, 11.25
   861, 1.73, 6.37, 11.55
   939, 1.73, 6.37, 11.84
  1024, 1.73, 6.41, 12.02
  1117, 2.00, 6.39, 12.23
  1218, 1.83, 6.39, 12.44
  1328, 1.73, 6.40, 12.70
  1448, 2.00, 6.40, 12.87
  1579, 1.73, 6.38, 13.00
  1722, 1.73, 6.39, 13.09
  1878, 1.73, 6.39, 13.27
  2048, 1.73, 6.40, 13.38
