ram_speed 0.01 (VC 1927/Win/asm:on),,,
,,,
Environment Info,,,
OS : Windows 10 x64 (18362),,,
CPU: Intel Core i7-5500U @ 2.40GHz [TB: 2.99GHz] (2C/4T),,,
RAM: Used 4254 MB, Total 8103 MB,,
,,,
inter core latency,,,
38.77,90.22,,
80.04,40.58,,
,,,
ram latency,,,
, sequantial, cacheline forward2, full random
4,1.77,1.74,1.74
4,1.68,1.74,1.74
5,1.76,1.73,1.68
5,1.73,1.73,1.68
6,1.73,1.68,1.73
6,1.69,1.68,1.68
7,1.73,1.68,1.68
7,1.68,1.75,1.68
8,1.73,1.67,1.67
9,1.67,1.67,1.67
10,1.67,1.67,1.67
10,1.67,1.67,1.73
11,1.73,1.67,1.67
12,1.84,1.78,1.73
13,1.8,1.85,1.89
15,1.77,1.78,1.74
16,1.73,1.73,1.67
17,1.67,1.67,1.67
19,1.67,1.67,1.67
21,1.67,1.67,1.67
23,1.67,1.67,1.67
25,1.67,1.67,1.67
27,1.73,1.73,1.67
29,1.68,1.67,1.67
32,1.68,1.73,1.67
35,1.67,3.41,1.91
38,1.83,3.93,2.14
41,1.85,3.88,2.29
45,1.67,3.96,2.46
49,1.69,4.03,2.59
54,1.86,3.87,2.72
59,1.69,4.01,2.86
64,1.71,3.88,2.94
70,1.73,4,3.05
76,1.92,3.9,3.15
83,1.74,4,3.22
91,1.67,4.02,3.29
99,1.67,3.94,3.35
108,1.67,3.97,3.41
117,1.67,3.96,3.57
128,1.67,3.98,3.51
140,1.7,3.95,3.57
152,1.67,3.94,3.59
166,1.73,4.06,3.62
181,1.67,3.97,3.66
197,1.7,3.96,3.81
215,1.74,3.98,3.85
235,1.67,3.96,3.74
256,1.95,4.24,3.92
279,1.71,5.55,4.98
304,2.02,6.19,5.76
332,1.67,6.16,6.78
362,2,6.67,7.51
395,1.73,6.65,8.2
431,1.82,6.59,8.68
470,1.73,6.72,9.31
512,1.67,6.59,9.85
558,1.73,6.8,10.38
609,1.93,6.62,10.82
664,1.67,6.57,11.18
724,1.93,6.58,11.59
790,1.67,6.14,11.9
861,1.93,6.16,12.22
939,1.93,6.6,12.77
1024,1.67,6.82,13.01
1117,1.67,6.59,13
1218,1.67,6.75,13.29
1328,1.67,6.68,13.48
1448,1.93,6.86,13.65
1579,1.82,6.64,13.86
1722,1.67,6.63,14.01
1878,1.93,6.6,14.17
2048,1.93,6.59,14.26
2233,1.93,6.77,14.63
2435,1.93,6.61,14.71
2656,1.93,6.63,14.6
2896,1.69,6.85,14.69
3158,1.73,6.83,14.99
3444,1.68,7.42,16.35
3756,1.67,7.84,19.06
4096,1.68,9.38,21.6
4467,1.67,10.82,23.7
4871,1.73,12.13,27.71
5312,1.67,14.85,30.53
5793,1.68,15.2,36.47
6317,1.69,15.86,39.3
6889,1.71,17.02,41.41
7512,1.74,18.5,46.46
8192,1.74,18.33,50.71
8933,1.85,18.88,53.02
9742,1.71,20.2,53.57
10624,1.89,19.63,55.99
11585,1.78,19.84,56.74
12634,1.75,21.01,58.45
13777,1.83,20.98,60.23
15024,1.79,20.23,62.01
16384,1.9,21.11,66.67
17867,1.87,20.27,67.8
19484,1.86,20.26,66.22
21247,1.75,20.3,67.57
23170,1.82,21.11,70.25
25268,1.83,21.08,69.97
27554,1.8,21.1,70.6
30048,1.7,20.23,71.72
32768,1.83,20.29,72.77
35734,1.77,20.27,73.64
38968,1.76,20.28,74.32
42495,1.69,21.13,75.31
46341,1.69,20.3,75.92
50535,1.69,20.62,76.64
55109,1.68,21.1,80.73
60097,1.69,20.88,77.79
65536,1.69,21.15,78.17
71468,1.74,20.37,78.96
77936,1.68,20.48,79.66
84990,1.69,21.13,80.6
92682,1.68,20.84,81.01
101070,1.68,20.46,81.51
110218,1.68,20.36,84.1
120194,1.68,21.19,82.79
131072,1.68,20.36,86.44
142935,1.68,21.15,83.74
155872,1.68,21.14,86.86
169979,1.68,20.39,89.31
185364,1.68,21.14,88.69
202141,1.68,20.34,87.27
220436,1.68,21.05,86.35
240387,1.68,20.39,87.61
262144,1.69,20.33,88.23

read bandwidth
4,173.6,347.2,
4,144.6,347.2,
5,150.2,347.1,
5,147.4,347.1,
6,156.2,347.1,
6,150.2,347.1,
7,166.2,347.1,
7,166.2,347.2,
8,150.2,347.2,
9,169.8,347.1,
10,150.2,347.1,
10,159.4,347.1,
11,139.4,347.1,
12,144.6,347.1,
13,134.5,347.1,
15,169.8,285.5,
16,134.7,295.7,
17,162.7,277,
19,166.2,272.6,
21,153.1,318.8,
23,137,325.4,
25,139.2,318.7,
27,111.5,325.1,
29,139.2,328.7,
32,150.2,329,
35,69.1,300.5,
38,69.5,332.3,
41,82.1,332.2,
45,69.7,332.3,
49,68.9,335.5,
54,70.1,335.6,
59,64.7,288.6,
64,73,320.1,
70,69.7,165.1,
76,65.6,139.1,
83,80.8,135.6,
91,67.9,135.9,
99,71,146.9,
108,76.5,146.7,
117,66.1,143.8,
128,73.7,132.7,
140,75.2,144.5,
152,74.1,156.4,
166,76.1,158.3,
181,66.6,135.6,
197,75,137.6,
215,77.3,147.1,
235,62,150.3,
256,65.1,150.5,
279,37.9,149.5,
304,31.2,146.6,
332,31.5,148.5,
362,31.6,150.4,
395,31.5,155.3,
431,31.5,154.7,
470,31.6,149.4,
512,31.5,112.8,
558,30.8,80,
609,31.6,63.3,
664,31.5,61.4,
724,30.9,61.3,
790,31.5,61.1,
861,31.6,63.1,
939,31.6,61.3,
1024,31.5,61.6,
1117,31.6,61.4,
1218,31.5,61.4,
1328,31.5,61.2,
1448,31.5,65.6,
1579,30.9,64.8,
1722,31.6,66.1,
1878,31.6,61.2,
2048,31.5,61.2,
2233,31.5,61.4,
2435,31.5,61.3,
2656,31.5,61.3,
2896,31.2,61.1,
3158,30.7,59.3,
3444,28.7,55,
3756,25.1,52.9,
4096,24,45.3,
4467,21.2,42.6,
4871,18.7,27.7,
5312,18.6,29.9,
5793,16.9,25.3,
6317,16.7,23.6,
6889,16.2,21.9,
7512,15.7,21.3,
8192,15.2,20.7,
8933,15.2,20.4,
9742,15,20,
10624,14.7,19.8,
11585,14.7,19,
12634,14.7,19.6,
13777,14.5,19.3,
15024,14.5,19.2,
16384,14.1,18.9,
17867,14.2,18.7,
19484,14.2,19.7,
21247,14.2,19.8,
23170,14,18.5,
25268,13.9,18.4,
27554,13.9,18.6,
30048,13.8,18.6,
32768,14,18.5,
35734,14,18.6,
38968,13.9,18.6,
42495,13.9,19.5,
46341,13.9,19.4,
50535,14.4,19.4,
55109,14.4,19.4,
60097,14.2,19.5,
65536,14.2,19.4,
71468,14.4,19.4,
77936,14.4,19.5,
84990,14.4,19.5,
92682,14.4,19.4,
101070,14.4,19.5,
110218,14.5,19.5,
120194,14.4,19.5,
131072,14.4,19.5,
142935,14.4,19.6,
155872,14.4,19.5,
169979,14.4,19.4,
185364,14.4,19.5,
202141,14.4,19.5,
220436,14.4,19.5,
240387,14.4,19.5,
262144,14.4,19.6,

write bandwidth
4,78.1,138.2,
4,50.7,137.5,
5,84.9,138.2,
5,76.5,99.4,
6,76.5,153.1,
6,78.1,173.6,
7,72.3,173.6,
7,68.5,146.5,
8,72.3,148.9,
9,71,173.6,
10,75,150.2,
10,71,173.5,
11,83.1,150.1,
12,78,173.5,
13,86.7,173.6,
15,86.8,173.6,
16,86.8,173.6,
17,86.8,173.4,
19,83.1,173.5,
21,86.8,173.6,
23,72.3,142.5,
25,86.4,173.3,
27,90.4,173.4,
29,71.9,173.4,
32,71,164.9,
35,31.5,128,
38,25.6,173.4,
41,23.4,173.2,
45,18.2,156.2,
49,24,145.6,
54,27.6,152.5,
59,27.5,152.3,
64,28.5,159.4,
70,27.5,61.3,
76,27.6,47.5,
83,23.5,55,
91,27.1,55,
99,25.8,54.7,
108,26.5,54.8,
117,28.6,55.2,
128,27.7,47.2,
140,22.9,54.9,
152,28.6,55.1,
166,27.5,47.7,
181,27.6,47.2,
197,27.7,45,
215,19,53.7,
235,24,55.2,
256,16.2,55.2,
279,22.6,45.7,
304,21.6,47.9,
332,20.1,55.1,
362,20.9,45.3,
395,20.7,54.4,
431,20.4,53.9,
470,20.1,51.4,
512,20.1,49.2,
558,17.3,45.7,
609,20.1,41.3,
664,20.1,37.3,
724,20.1,39.8,
790,17.8,39.3,
861,18.3,38.7,
939,20.1,38.6,
1024,20,38.5,
1117,20.1,38.4,
1218,19.7,38.5,
1328,20.1,38.4,
1448,20,22.2,
1579,19.4,38.5,
1722,20.2,21.9,
1878,12.8,38.5,
2048,20,38.3,
2233,19.7,37.4,
2435,20,38.2,
2656,20.1,38.4,
2896,19.6,37.7,
3158,19.4,36,
3444,18.6,28,
3756,16.6,32.1,
4096,13.2,26.3,
4467,12.5,22.2,
4871,11.1,15.2,
5312,10.1,12.3,
5793,9.8,12.4,
6317,8.7,10.7,
6889,8.7,10.2,
7512,8.8,9.8,
8192,8.9,9.5,
8933,8.7,9.3,
9742,8.5,9.2,
10624,8.6,9.1,
11585,8.5,9,
12634,8.5,8.9,
13777,8.5,9.5,
15024,8.4,9.4,
16384,8.3,9.4,
17867,8.2,9.3,
19484,8.2,9.3,
21247,8.2,9.2,
23170,8.1,9.2,
25268,8.1,9.1,
27554,8.1,9,
30048,8.1,9.1,
32768,8.1,9.1,
35734,8.2,9.1,
38968,8.5,9.1,
42495,8.7,9,
46341,8.7,9,
50535,8.7,9,
55109,8.7,9,
60097,8.7,9,
65536,8.7,9,
71468,8.6,9,
77936,8.6,8.9,
84990,8.6,9,
92682,8.6,9,
101070,8.6,9,
110218,8.6,9,
120194,8.6,9,
131072,8.6,9,
142935,8.6,9,
155872,8.6,9,
169979,8.6,9,
185364,8.6,9,
202141,8.6,8.9,
220436,8.6,9,
240387,8.6,9,
262144,8.6,8.9,
