ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19043) [CP932]
CPU: Intel Core i7-7700K @ 4.20GHz (4C/8T)
RAM: Used 3550 MB, Total 7892 MB

Intel Core i7-7700K @ 4.20GHz (4C/8T)
CPU cores
  core  0   : **------
  core  1   : --**----
  core  2   : ----**--
  core  3   : ------**
CPU caches
  cache L1D : **------ :  8way     32KB
  cache L1I : **------ :  8way     32KB
  cache L1D : --**---- :  8way     32KB
  cache L1I : --**---- :  8way     32KB
  cache L1D : ----**-- :  8way     32KB
  cache L1I : ----**-- :  8way     32KB
  cache L1D : ------** :  8way     32KB
  cache L1I : ------** :  8way     32KB
  cache L2  : **------ :  4way    256KB
  cache L2  : --**---- :  4way    256KB
  cache L2  : ----**-- :  4way    256KB
  cache L2  : ------** :  4way    256KB
  cache L3  : ******** : 16way   8192KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
   0  ,    6.09,   20.40,   21.21,   20.65
   1  ,   19.38,    6.09,   17.68,   17.19
   2  ,   20.77,   18.00,    6.06,   17.95
   3  ,   20.58,   16.43,   18.06,    6.08

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 1.20, 1.12, 1.12
      4, 1.12, 1.16, 1.16
      5, 1.12, 1.12, 1.12
      5, 1.12, 1.12, 1.11
      6, 1.12, 1.12, 1.11
      6, 1.12, 1.11, 1.11
      7, 1.12, 1.11, 1.11
      7, 1.11, 1.11, 1.12
      8, 1.11, 1.11, 1.11
      9, 1.11, 1.13, 1.11
     10, 1.11, 1.11, 1.11
     10, 1.12, 1.11, 1.11
     11, 1.11, 1.11, 1.12
     12, 1.13, 1.11, 1.11
     13, 1.11, 1.11, 1.12
     15, 1.11, 1.11, 1.11
     16, 1.11, 1.18, 1.11
     17, 1.11, 1.11, 1.11
     19, 1.11, 1.11, 1.11
     21, 1.11, 1.12, 1.11
     23, 1.11, 1.11, 1.11
     25, 1.14, 1.11, 1.11
     27, 1.11, 1.11, 1.12
     29, 1.11, 1.11, 1.11
     32, 1.11, 1.17, 1.11
     35, 1.11, 2.19, 1.27
     38, 1.11, 2.53, 1.40
     41, 1.11, 2.55, 1.48
     45, 1.12, 2.55, 1.60
     49, 1.13, 2.58, 1.69
     54, 1.11, 2.57, 1.77
     59, 1.12, 2.58, 1.85
     64, 1.11, 2.67, 1.93
     70, 1.11, 2.64, 1.99
     76, 1.11, 2.62, 2.04
     83, 1.11, 2.54, 2.10
     91, 1.11, 2.71, 2.15
     99, 1.11, 2.59, 2.19
    108, 1.12, 2.57, 2.23
    117, 1.14, 2.55, 2.27
    128, 1.13, 2.57, 2.30
