ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (18363)
CPU: Intel Core i9-7980XE @ 2.60GHz [TB: 4.10GHz] (18C/36T)
RAM: Used 4430 MB, Total 16077 MB

inter core latency
   14.47,   79.07,   80.05,   78.82,   87.31,   79.21,   80.73,   80.85,   81.58,   80.57,   78.86,   80.03,   79.13,   79.34,   78.80,   78.46,   79.59,   80.89
   78.34,   14.45,   76.38,   76.47,   78.30,   75.32,   79.17,   78.25,   79.33,   76.69,   79.93,   78.80,   77.08,   77.45,   78.13,   77.34,   77.47,   79.86
   79.42,   77.61,   14.45,   76.04,   76.33,   75.96,   76.39,   76.84,   78.07,   78.32,   78.17,   78.39,   74.54,   75.59,   76.11,   74.62,   75.88,   76.51
   79.00,   77.23,   75.52,   14.45,   79.77,   76.01,   76.34,   76.94,   78.96,   77.19,   77.21,   78.95,   76.58,   76.77,   76.68,   75.96,   75.35,   79.14
   80.31,   78.61,   77.77,   77.80,   14.37,   76.38,   78.57,   77.76,   81.02,   78.48,   77.42,   80.07,   78.81,   79.60,   76.06,   76.14,   76.18,   80.09
   77.89,   78.12,   77.87,   76.93,   76.15,   15.42,   77.80,   75.63,   79.31,   78.15,   77.74,   79.08,   75.73,   75.94,   76.19,   76.27,   75.38,   78.35
   80.27,   79.37,   77.26,   76.24,   78.00,   75.75,   14.49,   76.76,   81.03,   78.40,   79.76,   81.21,   75.22,   77.46,   76.79,   75.64,   76.67,   78.53
   81.23,   77.92,   77.49,   77.68,   78.09,   77.32,   77.92,   14.53,   79.86,   78.15,   77.20,   79.61,   75.12,   78.25,   76.73,   76.53,   76.16,   79.11
   81.41,   82.00,   77.95,   80.06,   81.76,   79.38,   79.40,   81.42,   14.48,   80.12,   79.29,   81.57,   79.19,   81.27,   77.90,   77.84,   80.65,   82.56
   78.51,   78.03,   75.79,   75.99,   78.77,   76.43,   76.86,   77.23,   79.57,   14.46,   78.11,   80.41,   76.41,   79.37,   76.49,   76.26,   76.02,   79.61
   79.85,   79.39,   78.36,   77.38,   78.06,   74.85,   77.16,   76.95,   80.45,   79.02,   14.41,   80.24,   76.19,   76.88,   76.72,   77.20,   76.18,   79.75
   85.94,   77.88,   77.23,   79.05,   80.45,   79.63,   79.45,   80.02,   81.97,   80.23,   80.02,   14.44,   77.99,   80.38,   77.68,   76.21,   77.59,   81.99
   76.57,   76.94,   76.35,   75.04,   77.29,   76.08,   75.63,   76.47,   79.85,   77.66,   76.11,   77.98,   14.44,   76.69,   75.14,   74.66,   75.69,   77.77
   79.14,   77.27,   76.33,   76.86,   79.82,   75.70,   76.60,   76.66,   80.36,   78.52,   77.23,   79.14,   75.75,   14.47,   76.16,   75.35,   76.86,   79.86
   79.51,   78.30,   78.03,   76.23,   76.74,   75.53,   76.84,   75.55,   77.93,   78.94,   77.29,   78.40,   75.96,   76.88,   14.47,   74.27,   76.55,   77.85
   77.42,   76.57,   74.21,   75.99,   77.03,   76.83,   76.47,   75.71,   79.71,   77.76,   77.17,   76.35,   75.26,   77.03,   74.34,   14.47,   77.47,   76.91
   80.64,   77.30,   77.27,   76.01,   78.94,   77.70,   76.68,   76.81,   80.76,   77.09,   77.84,   80.63,   76.49,   77.81,   76.40,   76.80,   14.45,   79.21
   80.81,   78.54,   78.10,   77.57,   79.46,   77.51,   78.42,   78.09,   81.17,   78.97,   78.20,   80.97,   77.69,   78.37,   75.82,   75.80,   78.00,   14.51

ram latency
, sequantial, cacheline forward2, full random
     4, 1.23, 1.23, 1.23
     4, 1.22, 1.22, 1.22
     5, 1.22, 1.23, 1.22
     5, 1.22, 1.22, 1.22
     6, 1.22, 1.22, 1.22
     6, 1.22, 1.22, 1.22
     7, 1.22, 1.22, 1.22
     7, 1.22, 1.22, 1.22
     8, 1.22, 1.22, 1.22
     9, 1.22, 1.22, 1.22
    10, 1.22, 1.22, 1.22
    10, 1.22, 1.22, 1.22
    11, 1.22, 1.22, 1.22
    12, 1.22, 1.22, 1.22
    13, 1.22, 1.22, 1.22
    15, 1.22, 1.22, 1.22
    16, 1.22, 1.22, 1.22
    17, 1.22, 1.22, 1.22
    19, 1.22, 1.22, 1.22
    21, 1.22, 1.22, 1.22
    23, 1.22, 1.22, 1.22
    25, 1.22, 1.22, 1.22
    27, 1.22, 1.22, 1.22
    29, 1.22, 1.22, 1.22
    32, 1.22, 1.24, 1.22
    35, 1.22, 2.74, 1.42
    38, 1.22, 3.19, 1.61
    41, 1.22, 3.20, 1.75
    45, 1.22, 3.21, 1.91
    49, 1.22, 3.19, 2.03
    54, 1.22, 3.20, 2.17
    59, 1.22, 3.21, 2.28
    64, 1.22, 3.21, 2.37
    70, 1.22, 3.20, 2.45
    76, 1.22, 3.21, 2.52
    83, 1.22, 3.20, 2.61
    91, 1.22, 3.20, 2.68
    99, 1.22, 3.21, 2.73
   108, 1.22, 3.21, 2.79
   117, 1.22, 3.20, 2.85
   128, 1.22, 3.21, 2.90
   140, 1.22, 3.20, 2.93
   152, 1.22, 3.20, 2.98
   166, 1.22, 3.20, 3.01
   181, 1.22, 3.20, 3.06
   197, 1.22, 3.20, 3.08
   215, 1.22, 3.20, 3.11
   235, 1.22, 3.20, 3.13
   256, 1.22, 3.21, 3.17
   279, 1.22, 3.24, 3.36
   304, 1.22, 3.25, 3.56
   332, 1.22, 3.26, 3.72
   362, 1.22, 3.25, 3.89
   395, 1.22, 3.26, 4.03
   431, 1.22, 3.26, 4.16
   470, 1.22, 3.26, 4.28
   512, 1.22, 3.26, 4.38
   558, 1.22, 3.25, 4.49
   609, 1.22, 3.25, 4.58
   664, 1.22, 3.25, 4.67
   724, 1.22, 3.25, 4.75
   790, 1.22, 3.26, 4.82
   861, 1.22, 3.26, 4.88
   939, 1.22, 3.26, 4.94
  1024, 1.22, 3.27, 5.00
  1117, 1.22, 5.35, 6.10
  1218, 1.22, 6.07, 7.22
  1328, 1.22, 6.32, 8.17
  1448, 1.22, 6.39, 9.03
  1579, 1.22, 6.46, 9.77
  1722, 1.22, 6.49, 10.44
  1878, 1.22, 6.48, 11.11
  2048, 1.22, 6.47, 11.67
  2233, 1.22, 6.41, 12.19
  2435, 1.22, 6.41, 12.68
  2656, 1.22, 6.38, 13.13
  2896, 1.22, 6.43, 13.52
  3158, 1.22, 6.42, 13.86
  3444, 1.22, 6.49, 14.25
  3756, 1.22, 6.43, 14.51
  4096, 1.22, 6.46, 14.83
  4467, 1.22, 6.52, 15.10
  4871, 1.22, 6.43, 15.32
  5312, 1.22, 6.49, 15.52
  5793, 1.22, 6.55, 15.81
  6317, 1.22, 6.50, 16.02
  6889, 1.22, 6.54, 16.52
  7512, 1.22, 6.46, 16.95
  8192, 1.22, 6.56, 17.29
  8933, 1.22, 6.54, 17.64
  9742, 1.22, 6.46, 17.95
 10624, 1.22, 6.53, 18.22
 11585, 1.22, 6.48, 18.54
 12634, 1.22, 6.60, 18.96
 13777, 1.22, 6.69, 19.28
 15024, 1.22, 6.75, 19.57
