ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: physical

Environment Info
OS : Ubuntu 20.04.6 LTS (4.9.253)
CPU: Cortex-A57 aarch64 (4C/4T)
RAM: Used 1478 MB, Total 1979 MB

Cortex-A57 aarch64 (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  2way     32KB
  cache L1I : *--- :  3way     48KB
  cache L1D : -*-- :  2way     32KB
  cache L1I : -*-- :  3way     48KB
  cache L1D : --*- :  2way     32KB
  cache L1I : --*- :  3way     48KB
  cache L1D : ---* :  2way     32KB
  cache L1I : ---* :  3way     48KB
  cache L2  : **** : 16way   2048KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
   0  ,,        ,   84.62,   78.76,   79.23
   1  ,   80.62,        ,   77.96,   81.39
   2  ,   77.17,   79.12,        ,   82.41
   3  ,   80.24,   77.82,   81.82,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 2.81, 2.65, 2.65
      4, 2.64, 2.70, 2.66
      5, 2.64, 2.64, 2.67
      5, 2.71, 2.64, 2.64
      6, 2.67, 2.66, 2.71
      6, 2.69, 2.64, 2.66
      7, 2.64, 2.66, 2.64
      7, 2.66, 2.64, 2.71
      8, 2.64, 2.64, 2.64
      9, 2.67, 2.64, 2.64
     10, 2.66, 2.69, 2.64
     10, 2.64, 2.64, 2.66
     11, 2.64, 2.63, 2.74
     12, 2.64, 2.64, 2.64
     13, 2.66, 2.70, 2.63
     15, 2.64, 2.67, 2.64
     16, 2.67, 2.63, 2.64
     17, 2.67, 2.71, 2.63
     19, 2.63, 2.66, 2.64
     21, 2.68, 3.95, 3.11
     23, 2.66, 6.34, 3.92
     25, 2.66, 7.44, 4.64
     27, 2.66, 7.88, 5.24
     29, 2.73, 8.19, 5.84
     32, 2.66, 8.60, 6.39
     35, 2.68, 8.83, 6.91
     38, 2.67, 10.64, 7.50
     41, 2.70, 10.68, 7.39
     45, 2.67, 10.36, 7.38
     49, 2.67, 10.51, 7.81
     54, 2.71, 10.22, 7.66
     59, 2.69, 10.14, 7.86
     64, 2.73, 9.91, 7.62
     70, 2.69, 10.99, 8.11
     76, 2.74, 11.34, 8.48
     83, 2.67, 12.20, 8.76
     91, 2.66, 12.09, 9.02
     99, 2.67, 12.04, 9.25
    108, 2.67, 12.04, 9.52
    117, 2.69, 12.03, 9.75
    128, 2.68, 12.09, 10.00
    140, 2.70, 12.11, 10.42
    152, 2.75, 12.10, 10.92
    166, 2.68, 12.14, 11.30
    181, 2.68, 12.12, 11.69
    197, 2.68, 12.10, 12.03
    215, 2.68, 12.09, 12.30
    235, 2.68, 12.13, 12.58
    256, 2.67, 12.10, 12.90
    279, 2.75, 12.11, 13.16
    304, 2.68, 12.19, 13.35
    332, 2.68, 12.15, 13.51
    362, 2.68, 12.11, 13.72
    395, 2.73, 12.10, 13.94
    431, 2.66, 12.12, 14.12
    470, 2.74, 12.09, 14.19
    512, 2.79, 12.15, 14.50
    558, 2.75, 12.20, 14.52
    609, 2.76, 12.09, 14.60
    664, 2.75, 12.14, 14.70
    724, 2.82, 12.12, 15.12
    790, 2.81, 12.23, 15.94
    861, 2.82, 12.19, 15.70
    939, 2.86, 12.21, 16.28
   1024, 2.78, 12.23, 16.29
   1117, 2.99, 12.35, 16.67
   1218, 2.90, 14.25, 19.34
   1328, 2.92, 16.34, 18.61
   1448, 2.97, 17.09, 19.69
   1579, 3.01, 20.58, 23.16
   1722, 3.01, 27.02, 24.59
   1878, 2.94, 31.36, 27.23
   2048, 3.00, 42.81, 35.18
   2233, 3.12, 54.90, 41.66
   2435, 2.98, 60.29, 45.82
   2656, 2.97, 71.33, 54.58
   2896, 2.89, 81.55, 60.08
   3158, 2.86, 89.45, 65.25
   3444, 2.85, 97.27, 71.08
   3756, 2.99, 102.62, 77.61
   4096, 2.88, 106.55, 83.20
   4467, 2.75, 109.73, 88.60
   4871, 2.83, 112.19, 95.63
   5312, 2.83, 113.12, 103.84
   5793, 2.83, 116.89, 105.51
   6317, 2.82, 115.51, 109.75
   6889, 2.77, 115.49, 106.68
   7512, 2.79, 116.30, 110.98
   8192, 2.79, 116.33, 114.83
   8933, 2.71, 117.18, 109.69
   9742, 2.66, 115.87, 112.24
  10624, 2.69, 116.41, 114.40
  11585, 2.70, 116.51, 116.62
  12634, 2.72, 116.66, 119.32
  13777, 2.72, 116.87, 122.30
  15024, 2.74, 116.72, 125.26
  16384, 2.74, 116.99, 127.97
  17867, 2.66, 117.08, 130.79
  19484, 2.68, 116.15, 123.06
  21247, 2.67, 116.03, 123.94
  23170, 2.66, 116.22, 125.53
  25268, 2.67, 116.08, 125.53
  27554, 2.66, 116.13, 126.28
  30048, 2.67, 116.21, 127.17
  32768, 2.65, 115.87, 128.11
  35734, 2.67, 116.18, 129.17
  38968, 2.67, 116.00, 130.55
  42495, 2.67, 116.00, 130.66
  46341, 2.67, 116.10, 131.15
  50535, 2.67, 115.92, 131.60
  55109, 2.67, 115.95, 132.37
  60097, 2.67, 116.04, 133.32
  65536, 2.68, 116.06, 134.35
  71468, 2.67, 116.05, 135.44
  77936, 2.68, 116.16, 136.52
  84990, 2.69, 116.11, 137.54
  92682, 2.69, 116.14, 138.66
 101070, 2.69, 116.08, 139.91
 110218, 2.70, 116.15, 141.25
 120194, 2.70, 116.29, 142.69
 131072, 2.70, 116.33, 144.87
 142935, 2.71, 116.40, 148.35
 155872, 2.73, 116.50, 151.91
 169979, 2.73, 116.58, 155.19
 185364, 2.74, 116.66, 158.40
 202141, 2.75, 116.67, 160.39
 220436, 2.75, 116.72, 162.02
 240387, 2.75, 116.69, 164.38
 262144, 2.75, 116.78, 166.75
 285870, 2.76, 116.82, 168.97
 311744, 2.75, 116.76, 171.63
 339959, 2.76, 116.83, 173.65
 370728, 2.77, 116.85, 176.14
 404281, 2.76, 116.87, 178.20
 440872, 2.77, 116.93, 162.41
 480774, 2.70, 116.11, 141.57
 524288, 2.67, 116.04, 150.90

read bandwidth (GB/s)
      4,  26.9,  57.0,  85.5, 114.1,
      4,  27.1,  57.0,  85.5, 114.0,
      5,  27.2,  57.0,  85.5, 114.0,
      5,  27.4,  56.9,  85.5, 114.0,
      6,  27.5,  57.0,  85.5, 114.0,
      6,  27.6,  55.2,  85.5, 114.0,
      7,  27.6,  53.4,  85.5, 114.0,
      7,  27.6,  53.6,  85.5, 114.0,
      8,  27.7,  53.9,  85.5, 114.1,
      9,  27.8,  54.2,  85.5, 114.0,
     10,  17.2,  54.4,  81.9, 114.0,
     10,  27.9,  54.6,  80.1, 114.0,
     11,  27.9,  54.8,  80.6, 114.0,
     12,  28.0,  55.0,  81.0, 112.2,
     13,  17.7,  55.1,  81.4, 108.6,
     15,  18.4,  55.3,  81.6, 107.3,
     16,  28.1,  55.3,  81.9, 107.8,
     17,  28.1,  55.5,  82.2, 108.3,
     19,  24.8,  55.6,  82.5, 108.8,
     21,  28.2,  55.8,  82.8, 109.1,
     23,  26.6,  55.9,  83.0, 109.6,
     25,  18.1,  56.0,  78.6, 109.9,
     27,  16.3,  45.7,  76.1, 110.2,
     29,  16.9,  46.5,  72.9, 110.5,
     32,  17.4,  56.2,  83.7, 110.8,
     35,  16.8,  56.2,  83.8, 106.5,
     38,  18.8,  56.3,  84.0, 100.7,
     41,  16.8,  56.4,  84.1, 100.9,
     45,  14.6,  46.9,  84.3, 100.4,
     49,  15.0,  50.2,  84.4, 101.1,
     54,  16.6,  46.3,  84.4, 101.8,
     59,  15.1,  40.7,  79.6, 102.4,
     64,  14.4,  36.1,  77.4, 103.1,
     70,  14.3,  32.3,  71.9, 103.8,
     76,  14.6,  35.1,  67.2, 102.4,
     83,  14.8,  31.3,  60.6,  98.7,
     91,  14.4,  30.5,  51.4,  92.8,
     99,  14.4,  31.4,  45.1,  82.1,
    108,  14.3,  30.9,  43.5,  67.8,
    117,  14.3,  31.0,  42.0,  55.5,
    128,  14.4,  28.9,  36.0,  47.8,
    140,  14.4,  29.8,  36.2,  43.2,
    152,  14.4,  28.1,  33.6,  41.6,
    166,  14.4,  28.1,  32.8,  38.6,
    181,  14.4,  28.1,  33.2,  35.9,
    197,  14.4,  28.1,  32.2,  33.3,
    215,  14.4,  28.1,  29.6,  31.7,
    235,  14.4,  28.1,  28.7,  32.0,
    256,  14.4,  27.8,  28.4,  31.7,
    279,  14.4,  27.8,  28.4,  30.0,
    304,  14.4,  27.9,  29.2,  28.6,
    332,  14.4,  27.9,  28.4,  28.7,
    362,  14.4,  27.9,  28.4,  29.0,
    395,  14.4,  27.9,  28.4,  29.0,
    431,  14.4,  27.8,  28.4,  28.8,
    470,  14.4,  27.8,  28.4,  28.4,
    512,  14.4,  27.9,  28.4,  28.4,
    558,  14.4,  27.9,  28.4,  28.4,
    609,  14.4,  27.9,  28.5,  28.4,
    664,  14.4,  27.9,  28.5,  28.4,
    724,  14.4,  27.9,  28.5,  28.4,
    790,  14.4,  27.9,  28.5,  28.4,
    861,  14.3,  27.9,  28.5,  28.4,
    939,  14.4,  27.9,  28.5,  28.4,
   1024,  14.4,  27.9,  28.5,  28.4,
   1117,  14.4,  27.9,  28.4,  28.4,
   1218,  11.5,  26.7,  27.5,  28.4,
   1328,  11.2,  25.1,  27.1,  27.6,
   1448,  13.4,  22.5,  25.8,  26.0,
   1579,   9.8,  18.2,  24.6,  24.6,
   1722,   8.1,  15.3,  20.6,  23.5,
   1878,   7.3,  13.4,  19.1,  21.4,
   2048,   6.2,  12.4,  17.2,  19.4,
   2233,   5.5,  10.5,  14.7,  17.7,
   2435,   5.0,   9.3,  13.2,  15.5,
   2656,   4.8,   9.3,  11.7,  13.7,
   2896,   4.8,   8.6,  10.8,  12.3,
   3158,   4.8,   8.2,   9.9,  11.2,
   3444,   4.9,   7.9,   9.2,  10.3,
   3756,   4.9,   7.6,   8.7,   9.5,
   4096,   4.9,   7.3,   8.2,   8.7,
   4467,   4.8,   6.9,   7.9,   8.4,
   4871,   4.7,   6.7,   7.7,   8.2,
   5312,   4.7,   6.7,   7.6,   8.0,
   5793,   4.7,   6.6,   7.5,   7.8,
   6317,   4.8,   6.5,   7.4,   7.7,
   6889,   4.7,   6.4,   7.3,   7.6,
   7512,   4.6,   6.4,   7.3,   7.5,
   8192,   4.7,   6.3,   7.2,   7.4,
   8933,   4.6,   6.3,   7.2,   7.4,
   9742,   4.7,   6.3,   7.1,   7.4,
  10624,   4.7,   6.3,   7.1,   7.4,
  11585,   4.7,   6.2,   7.1,   7.3,
  12634,   4.7,   6.2,   7.1,   7.3,
  13777,   4.7,   6.2,   7.1,   7.3,
  15024,   4.8,   6.3,   7.1,   7.3,
  16384,   4.8,   6.3,   7.1,   7.3,
  17867,   4.8,   6.2,   7.1,   7.3,
  19484,   4.7,   6.2,   7.1,   7.3,
  21247,   4.8,   6.2,   7.1,   7.3,
  23170,   4.8,   6.3,   7.1,   7.3,
  25268,   4.8,   6.3,   7.1,   7.3,
  27554,   4.8,   6.3,   7.1,   7.3,
  30048,   4.8,   6.2,   7.1,   7.3,
  32768,   5.0,   6.3,   7.1,   7.3,
  35734,   5.0,   6.3,   7.1,   7.3,
  38968,   5.1,   6.3,   7.1,   7.3,
  42495,   5.0,   6.2,   7.1,   7.3,
  46341,   5.1,   6.3,   7.1,   7.3,
  50535,   5.1,   6.3,   7.2,   7.3,
  55109,   5.1,   6.3,   7.1,   7.3,
  60097,   5.1,   6.3,   7.2,   7.3,
  65536,   5.1,   6.3,   7.2,   7.3,
  71468,   5.1,   6.3,   7.2,   7.3,
  77936,   5.1,   6.3,   7.2,   7.3,
  84990,   5.1,   6.3,   7.2,   7.3,
  92682,   5.1,   6.3,   7.3,   7.3,
 101070,   5.1,   6.3,   7.3,   7.3,
 110218,   5.1,   6.3,   7.3,   7.3,
 120194,   5.1,   6.3,   7.3,   7.3,
 131072,   5.1,   6.3,   7.3,   7.3,
 142935,   5.1,   6.3,   7.3,   7.3,
 155872,   5.1,   6.3,   7.3,   7.3,
 169979,   5.1,   6.3,   7.3,   7.3,
 185364,   5.1,   6.3,   7.3,   7.3,
 202141,   5.1,   6.3,   7.3,   7.3,
