ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: physical

Environment Info
OS : Ubuntu 20.04.5 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU:   (8C/8T)
RAM: Used 493 MB, Total 7691 MB

  (8C/8T)
CPU cores
  core  0   : *-------
  core  1   : -*------
  core  2   : --*-----
  core  3   : ---*----
  core  4   : ----*---
  core  5   : -----*--
  core  6   : ------*-
  core  7   : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  ,     4  ,     5  ,     6  ,     7  
   0  ,,        ,   68.06,   75.53,  133.56,  174.28,   75.31,   84.52,   66.59
   1  ,   81.06,        ,   82.19,   92.27,  176.08,   76.91,   97.48,   71.81
   2  ,   88.94,   78.88,        ,  100.41,  167.89,   92.37,  122.13,   79.45
   3  ,   67.43,   68.05,   75.43,        ,   94.80,   64.62,  167.06,   67.93
   4  ,  104.13,   69.86,   82.94,  135.73,        ,  124.86,  111.30,  143.30
   5  ,  108.39,   75.91,  116.62,   95.42,  194.73,        ,  104.37,   78.54
   6  ,   80.01,   79.84,  123.59,  120.14,  148.48,   65.29,        ,   61.50
   7  ,   73.19,  164.87,   66.24,   96.10,   88.51,   80.51,   86.20,        

ram latency (ns)
, sequantial, cacheline forward2, full random
      4, 2.21, 2.85, 2.82
      4, 2.19, 2.19, 2.19
      5, 2.19, 2.19, 2.19
      5, 2.19, 2.19, 2.19
      6, 2.19, 2.19, 2.19
      6, 2.19, 2.19, 2.19
      7, 2.19, 2.19, 2.19
      7, 2.19, 2.19, 2.19
      8, 2.19, 2.19, 2.19
      9, 2.19, 2.23, 2.19
     10, 2.19, 2.18, 2.19
     10, 2.19, 2.18, 2.19
     11, 2.19, 2.19, 2.19
     12, 2.19, 2.22, 2.22
     13, 2.19, 2.22, 2.24
     15, 2.19, 2.21, 2.20
     16, 2.19, 2.26, 2.19
     17, 2.19, 2.18, 2.20
     19, 2.19, 2.20, 2.22
     21, 2.19, 2.22, 2.20
     23, 2.19, 2.20, 2.19
     25, 2.19, 2.21, 2.20
     27, 2.19, 2.20, 2.22
     29, 2.19, 2.22, 2.20
     32, 2.19, 2.20, 2.20
     35, 2.21, 2.76, 2.50
     38, 2.21, 3.33, 2.81
     41, 2.20, 3.71, 3.04
     45, 2.20, 4.10, 3.28
     49, 2.20, 4.38, 3.51
     54, 2.19, 4.65, 3.67
     59, 2.20, 4.87, 3.87
     64, 2.19, 5.05, 4.07
     70, 2.19, 5.22, 4.28
     76, 2.19, 5.37, 4.50
     83, 2.19, 5.43, 4.66
     91, 2.19, 5.65, 4.90
     99, 2.19, 5.69, 5.10
    108, 2.19, 5.73, 5.20
    117, 2.19, 6.19, 5.53
    128, 2.19, 6.75, 6.00
    140, 2.19, 7.55, 6.58
    152, 2.19, 8.62, 7.14
    166, 2.19, 9.00, 7.45
    181, 2.19, 10.06, 8.19
    197, 2.19, 11.00, 8.85
    215, 2.19, 11.96, 9.52
    235, 2.19, 12.81, 10.14
    256, 2.19, 13.44, 10.68
    279, 2.19, 13.99, 11.27
    304, 2.19, 14.58, 11.79
    332, 2.19, 14.91, 12.17
    362, 2.19, 15.20, 12.57
    395, 2.19, 15.23, 13.01
    431, 2.19, 15.18, 13.34
    470, 2.19, 15.23, 13.65
    512, 2.19, 15.23, 13.94
    558, 2.19, 15.24, 14.22
    609, 2.19, 15.24, 14.63
    664, 2.19, 15.33, 14.75
    724, 2.19, 15.21, 15.04
    790, 2.20, 15.27, 15.15
    861, 2.19, 15.26, 15.36
